,Gene_ID,Comparison,NR ID,NT ID,KO Name,Swissprot ID,PFAM ID,KOG ID,Hit1_acc,,,,,,
38,PGSC0003DMG400005862,Cv653,XP_010480024.1,XM_006352150.2,"RP-L40e, RPL40",P0CH07,PF00240//PF01020//PF14560,KOG0003,RL402_SCHPO,,,,,,
39,PGSC0003DMG400028631,Cv653,XP_004252305.1,XM_006346542.2,"RP-S12e, RPS12",Q9XHS0,PF08225,KOG3406,RS12_HORVU,,,,,,
40,PGSC0003DMG400012163,Cv653,XP_006343887.1,XM_006343826.2,SPA1,Q9T014,PF00069//PF07714//PF00400,KOG0266,SPA2_ARATH,,,,,,
41,PGSC0003DMG400014345,Cv653,XP_006353296.1,XM_006353234.1,--,Q9SMT7,PF00501,KOG1176,4CLLA_ARATH,,,,,,
42,PGSC0003DMG400030802,Cv653,XP_002298397.2,XM_015303365.1,"RP-S2e, RPS2",Q8L8Y0,PF03719//PF00333,KOG0877,RS21_ARATH,,,,,,
43,PGSC0003DMG400000345,Cv653,XP_004251656.1,XM_006353453.2,"RP-L31e, RPL31",P46290,PF01198,KOG0893,RL31_NICGU,,,,,,
44,PGSC0003DMG402003830,Cv653,XP_006356643.1,XM_006356581.2,"RP-L37e, RPL37",Q8LEM8,PF03627,KOG3475,RL373_ARATH,,,,,,
45,PGSC0003DMG400030009,Cv653,XP_002263654.2,XM_006361858.2,--,B8BB68,PF13855//PF00560,--,BAK1_ORYSI,,,,,,
46,PGSC0003DMG400020017,Cv653,AFU52655.1,XR_368160.2,--,P52401,PF00332,--,E132_SOLTU,,,,,,
47,PGSC0003DMG400020638,Cv653,XP_006344092.1,XM_006344030.2,--,--,--,--,-,,,,,,
48,Novel00691,Cv653,XP_006339026.1,XM_006338964.2,--,F4KCC2,PF14634//PF13639//PF02207,KOG1140,PRT6_ARATH,,,,,,
49,PGSC0003DMG400012696,Cv653,XP_010319169.1,XM_006357939.2,E3.6.3.8,O22218,PF12515//PF01393//PF00122,KOG0204,ACA4_ARATH,,,,,,
50,PGSC0003DMG400026414,Cv653,XP_006360953.1,XM_006360891.2,"SNU13, NHP2L",Q5XH16,--,KOG3387,NH2L1_XENLA,,,,,,
51,PGSC0003DMG400021865,Cv653,XP_004248177.1,XM_015304820.1,"RFA1, RPA1, rpa",O49453,--,--,Y4844_ARATH,,,,,,
52,PGSC0003DMG400016063,Cv653,XP_006338201.1,XM_006338139.2,--,--,--,--,-,,,,,,
53,PGSC0003DMG400027194,Cv653,XP_006355688.1,XM_006355626.2,--,Q9FN03,--,KOG1426,UVR8_ARATH,,,,,,
54,PGSC0003DMG400002821,Cv653,XP_006344258.1,XM_006344196.2,--,--,--,--,-,,,,,,
55,PGSC0003DMG400004299,Cv653,XP_006352051.1,XM_015310711.1,--,O23310,PF00125,KOG0869,NFYB3_ARATH,,,,,,
56,Novel03005,Cv653,XP_009774821.1,XM_006357583.2,--,P73627,PF02609,KOG1235,Y1770_SYNY3,,,,,,
57,PGSC0003DMG400025174,Cv653,XP_011088325.1,XM_006365426.2,"ACSL, fadD",Q9XIA9,PF00501,KOG1256,LACS2_ARATH,,,,,,
58,PGSC0003DMG400022500,Cv653,XP_006347814.1,XM_006347752.2,EEF1B,P48006,PF00736,KOG1668,EF1D1_ARATH,,,,,,
59,PGSC0003DMG400012847,Cv653,XP_006344876.1,XM_015307609.1,--,--,--,--,-,,,,,,
60,PGSC0003DMG400019667,Cv653,XP_006340229.1,XR_366729.2,--,Q9LRR4,PF00931//PF13855//PF02209//PF08603,--,R13L1_ARATH,,,,,,
61,Novel00371,Cv653,XP_006346506.1,XM_015308309.1,SMG1,Q8BKX6,PF02985//PF01110//PF15785//PF00454//PF08771//PF02260//PF09182,KOG0891,SMG1_MOUSE,,,,,,
62,PGSC0003DMG400019276,Cv653,XP_010324340.1,XM_015226658.1,--,O81833,PF00954//PF11883//PF07714//PF00069,--,SD11_ARATH,,,,,,
63,PGSC0003DMG401028515,Cv653,XP_006356195.1,XM_006356133.2,"grxD, GLRX5",Q8LBK6,PF00462//PF03206,KOG0911,GRS15_ARATH,,,,,,
64,PGSC0003DMG400031345,Cv653,XP_004235074.1,XM_006355081.2,"RP-S18e, RPS18",P34788,PF00416,KOG3311,RS18_ARATH,,,,,,
65,PGSC0003DMG400007160,Cv653,XP_006347206.1,XM_006347144.2,--,Q681X4,PF13912//PF13465//PF02150//PF01155//PF00096,--,ZAT5_ARATH,,,,,,
66,PGSC0003DMG400015754,Cv653,XP_006365467.1,XM_006365405.2,--,Q9SVM8,PF16367//PF00076//PF04847,KOG0118,RBG2_ARATH,,,,,,
67,PGSC0003DMG400027017,Cv653,XP_006347303.1,HG975445.1,--,Q96288,PF01405//PF00643,--,BBX24_ARATH,,,,,,
68,PGSC0003DMG400026130,Cv653,NP_001275107.1,DQ235168.1,"RP-L18Ae, RPL18A",Q9ATF5,PF01775,KOG0829,RL18A_CASSA,,,,,,
69,PGSC0003DMG400014293,Cv653,XP_006353392.1,XM_006353330.2,--,Q04980,--,--,LTI65_ARATH,,,,,,
70,PGSC0003DMG400035878,Cv653,NP_001292750.1,AK321037.1,FAD2,Q8GZC3,PF11960//PF00487,--,FAD2_VERFO,,,,,,
71,PGSC0003DMG400008443,Cv653,XP_006365855.1,XM_006365793.2,--,Q7SXW4,PF01956,KOG3188,EMC3_DANRE,,,,,,
72,PGSC0003DMG400027855,Cv653,XP_006367296.1,XM_006367234.2,--,--,PF02365,--,-,,,,,,
73,PGSC0003DMG400030575,Cv653,XP_006344166.1,XM_006344104.2,--,--,--,--,-,,,,,,
74,PGSC0003DMG400010638,Cv653,XP_006364434.1,XM_006364372.2,--,Q55EX9,PF08241//PF00107,--,Y8948_DICDI,,,,,,
75,PGSC0003DMG400024857,Cv653,XP_006356329.1,XM_015312788.1,"SKP2, FBXL1",Q9LPL4,PF13516//PF00560//PF13855//PF12937//PF00646,KOG1947,SKP2A_ARATH,,,,,,
76,PGSC0003DMG400018524,Cv653,XP_006350518.1,XM_006350456.2,--,Q9SM23,PF00887//PF00023//PF13606,KOG0817,ACBP1_ARATH,,,,,,
77,PGSC0003DMG400019764,Cv653,XP_007043295.1,NM_001288058.1,"RP-L44e, RPL44",Q96499,PF00935,KOG3464,RL44_GOSHI,,,,,,
78,PGSC0003DMG400015726,Cv653,XP_006341310.1,XM_006341248.2,"GST, gst",Q9FUS8,PF02798//PF13417//PF13409,--,GSTUH_ARATH,,,,,,
79,PGSC0003DMG400002738,Cv653,XP_006354966.1,XM_006341097.2,--,--,--,--,-,,,,,,
80,PGSC0003DMG400012777,Cv653,XP_006339425.1,XM_006339363.2,K06890,Q94A20,--,KOG2322,BI1L_ARATH,,,,,,
81,PGSC0003DMG400002541,Cv653,XP_004235660.1,XM_006343000.2,"RP-L37e, RPL37",Q8LEM8,PF01907,KOG3475,RL373_ARATH,,,,,,
82,PGSC0003DMG400020689,Cv653,AAL73184.1,HG975519.1,E3.2.1.14,Q9FRV1,PF00187,--,CHIA_SECCE,,,,,,
83,PGSC0003DMG400017779,Cv653,XP_006366995.1,XM_006366933.2,--,Q9LS95,PF01956//PF05297//PF02480//PF00069//PF07714,--,PERK6_ARATH,,,,,,
84,Novel02915,Cv653,XR_367201.2,XR_367201.2,--,--,--,--,-,,,,,,
85,PGSC0003DMG400046040,Cv653,HG975517.1,HG975517.1,--,--,--,--,-,,,,,,
86,PGSC0003DMG400008420,Cv653,XP_006343478.1,HG975523.1,--,Q9C9H5,PF00759//PF00830//PF00331,--,GUN9_ARATH,,,,,,
87,PGSC0003DMG400022348,Cv653,XP_006347160.1,XM_006347098.2,--,--,--,--,-,,,,,,
88,Novel02695,Cv653,XP_009798890.1,XM_015308195.1,--,--,--,--,-,,,,,,
89,PGSC0003DMG400009414,Cv653,XP_006365013.1,XM_006364951.2,--,Q9ZSB0,PF00082,--,SBT39_ARATH,,,,,,
90,PGSC0003DMG400013167,Cv653,XP_006339986.1,XR_368976.2,NOP58,Q9MAB3,PF00619,KOG2572,NOP5B_ARATH,,,,,,
91,PGSC0003DMG401025318,Cv653,XP_006357327.1,XM_006357265.2,--,P0C945,PF06553,--,Y1158_ARATH,,,,,,
92,Novel02204,Cv653,XP_009605272.1,XR_366787.2,--,--,--,--,-,,,,,,
93,PGSC0003DMG400015319,Cv653,XP_006358978.1,XM_006358916.2,--,Q94BM7,PF07714//PF05495//PF00400//PF07541//PF04863//PF03587//PF00069//PF02485//PF05342,--,SPA4_ARATH,,,,,,
94,Novel02272,Cv653,HG975448.1,HG975448.1,--,--,--,--,-,,,,,,
95,Novel00900,Cv653,NP_001234748.1,XM_006339293.2,"DNMT1, dcm",Q9M0S8,--,--,DNMT2_ARATH,,,,,,
96,PGSC0003DMG400003144,Cv653,XP_006347573.1,HG975442.1,NDUFS6,--,--,--,-,,,,,,
97,PGSC0003DMG400023375,Cv653,XP_007144308.1,XM_006345784.2,H2B,Q9LQQ4,PF03847//PF05132//PF00125,KOG1744,H2B1_ARATH,,,,,,
98,PGSC0003DMG400020021,Cv653,XP_004238353.1,XM_015218660.1,--,--,--,--,-,,,,,,
99,PGSC0003DMG402003899,Cv653,XP_006354393.1,XM_006354332.2,PIP5K,Q8L850,--,KOG0231,PI5K9_ARATH,,,,,,
100,PGSC0003DMG400012762,Cv653,XP_006339429.1,XM_006339368.2,"maiA, GSTZ1",Q9ZVQ3,PF13409//PF02798//PF13417,KOG0868,GSTZ1_ARATH,,,,,,
101,Novel02003,Cv653,XP_006358038.1,XM_015313721.1,--,--,PF07839,--,-,,,,,,
102,PGSC0003DMG400024081,Cv653,XP_009593058.1,XM_006343247.2,--,Q9SHY2,PF06305//PF03169,--,YSL7_ARATH,,,,,,
103,PGSC0003DMG400015334,Cv653,XP_006358945.1,XM_006358883.2,--,--,PF04111//PF07460//PF04617,--,-,,,,,,
104,Novel01300,Cv653,XP_004241368.1,XM_006346572.2,"RP-S11e, RPS11",P17093,PF00366,KOG1728,RS11_SOYBN,,,,,,
105,PGSC0003DMG400015488,Cv653,XP_006346961.1,XM_006346899.2,--,Q9FFZ1,PF06821//PF00975//PF01764,KOG4409,PPH_ARATH,,,,,,
106,PGSC0003DMG400020050,Cv653,XP_006352779.1,XM_006352717.2,--,Q9LDG2,--,--,TBL10_ARATH,,,,,,
107,PGSC0003DMG400025221,Cv653,XP_006351059.1,XM_015310302.1,--,Q9SYL0,PF00651//PF02135,--,BT3_ARATH,,,,,,
108,PGSC0003DMG400019511,Cv653,XP_006364593.1,XM_006364531.2,MDH2,Q9SN86,PF02866//PF01073//PF00056//PF01118,KOG1494,MDHP_ARATH,,,,,,
109,PGSC0003DMG400021258,Cv653,XP_010691598.1,XM_015314657.1,SEC61A,Q54XK2,PF00344,KOG1373,SC61A_DICDI,,,,,,
110,PGSC0003DMG400023728,Cv653,XP_006351404.1,XM_006351342.2,--,O22227,--,--,MIZ1_ARATH,,,,,,
111,PGSC0003DMG400025752,Cv653,XP_006346321.1,HG975513.1,--,Q9FN11,PF00320//PF06324,--,LBD37_ARATH,,,,,,
112,PGSC0003DMG400001631,Cv653,XP_006359655.1,XM_006359592.2,--,Q9T0I5,--,--,PRP4_ARATH,,,,,,
113,PGSC0003DMG400019971,Cv653,XP_006364042.1,XM_006363980.2,FKF1,Q9C9W9,PF00989//PF01344//PF09026//PF12937//PF00646//PF08447//PF07646,--,ADO3_ARATH,,,,,,
114,PGSC0003DMG400015464,Cv653,XP_006342578.1,XM_006342517.2,--,Q9FWS6,PF02577,--,BBD1_ARATH,,,,,,
115,PGSC0003DMG400030052,Cv653,XP_004237264.1,XM_006341788.2,"RP-S16e, RPS16",O22647,PF00380,KOG1753,RS16_FRIAG,,,,,,
116,PGSC0003DMG400013887,Cv653,XP_010317324.1,XM_015308692.1,--,Q9SXB4,PF07714//PF00069//PF06293//PF11883//PF00954,--,Y1130_ARATH,,,,,,
117,PGSC0003DMG400031097,Cv653,XP_006366764.1,XM_015305065.1,MRPS33,--,--,--,-,,,,,,
118,PGSC0003DMG402028683,Cv653,XP_006351033.1,HG975450.1,--,Q940A6,PF17049//PF07578//PF00515//PF00637,--,PP325_ARATH,,,,,,
119,PGSC0003DMG401018530,Cv653,XP_006350528.1,HG975515.1,--,--,PF01199,--,-,,,,,,
120,PGSC0003DMG401000554,Cv653,XP_006347531.1,XM_006347469.2,--,O81916,PF12763//PF13405//PF13499//PF13202//PF00036//PF13833,--,YC22_ARATH,,,,,,
121,PGSC0003DMG400030220,Cv653,XP_009608048.1,XM_006360410.2,--,P95648,PF07728//PF07724//PF13606//PF05496//PF00158//PF06309//PF00023//PF00004,KOG4177,CBBX_RHOSH,,,,,,
122,PGSC0003DMG400014879,Cv653,XP_006343201.1,HG975442.1,--,--,--,--,-,,,,,,
123,PGSC0003DMG401018318,Cv653,XP_006357507.1,XM_015313455.1,--,--,PF00444,--,-,,,,,,
124,PGSC0003DMG400028815,Cv653,XP_010313685.1,XM_006351937.2,--,Q9SS37,--,--,RTNLH_ARATH,,,,,,
125,PGSC0003DMG400020829,Cv653,XP_006358709.1,XM_015314069.1,"SLC31A1, CTR1",Q39065,PF04145//PF09472,--,COPT1_ARATH,,,,,,
126,PGSC0003DMG400029406,Cv653,XP_006342537.1,XM_006342475.2,GAPA,P12859,PF00044//PF02800,KOG0657,G3PB_PEA,,,,,,
127,PGSC0003DMG400017247,Cv653,XP_006354514.1,XM_006354452.2,--,P10967,PF03171,--,ACCH3_SOLLC,,,,,,
128,PGSC0003DMG400002426,Cv653,XP_006359571.1,XM_006359509.2,--,Q40392,PF01637//PF00931//PF13855//PF00004//PF00005//PF13676//PF01582//PF00560,--,TMVRN_NICGU,,,,,,
129,PGSC0003DMG400018517,Cv653,XP_006350506.1,XM_006350444.2,--,Q2V3E2,PF11648//PF01641,KOG3399,YIPL5_ARATH,,,,,,
130,PGSC0003DMG400022983,Cv653,XP_006362450.1,XM_006362388.2,--,Q9LU68,PF08015//PF06203,--,CIA2_ARATH,,,,,,
131,PGSC0003DMG400025399,Cv653,XP_006343461.1,XM_015306970.1,--,Q9P253,--,KOG2034,VPS18_HUMAN,,,,,,
132,PGSC0003DMG400018291,Cv653,XP_006358546.1,XM_006358484.1,--,Q96CN4,--,KOG1102,EVI5L_HUMAN,,,,,,
133,PGSC0003DMG400020260,Cv653,XP_006338688.1,HG975441.1,--,Q9LK32,--,--,Y3721_ARATH,,,,,,
134,PGSC0003DMG400020118,Cv653,XP_006352790.1,XM_006352728.2,--,--,--,--,-,,,,,,
135,PGSC0003DMG400024055,Cv653,XP_006356453.1,XM_006356391.2,--,Q40392,PF13855//PF00004//PF13676//PF00931//PF01582,--,TMVRN_NICGU,,,,,,
136,PGSC0003DMG400028620,Cv653,XP_006346589.1,XM_006346528.2,CRY,O48652,--,KOG0133,UVR3_ARATH,,,,,,
137,PGSC0003DMG400008472,Cv653,XP_009594369.1,XM_015223673.1,"FAD8, desB",P48620,PF00487//PF11960,--,FAD3C_SESIN,,,,,,
138,PGSC0003DMG400000708,Cv653,XP_006365107.1,XM_006365045.2,--,Q03878,PF16367//PF00076,--,GRP1_DAUCA,,,,,,
139,PGSC0003DMG400022931,Cv653,XP_006352088.1,XM_006352028.2,ABF,Q9M7Q5,PF03131//PF07716//PF08367//PF00170,--,AI5L4_ARATH,,,,,,
140,PGSC0003DMG400024838,Cv653,XP_006356337.1,XM_006356275.2,"RP-S2e, RPS2",Q9SCM3,PF00333//PF03719,KOG0877,RS24_ARATH,,,,,,
141,Novel03457,Cv653,XP_006341228.1,XM_006341166.2,PRCP,Q5RBU7,PF05577//PF00326,KOG2183,PCP_PONAB,,,,,,
142,Novel02216,Cv653,XR_001474331.1,XR_001474331.1,--,--,--,--,-,,,,,,
143,PGSC0003DMG400009072,Cv653,XP_006350582.1,XM_006350520.2,SIGMA70,Q9ZNX9,PF04545//PF00196//PF04542//PF04539//PF08281,--,SIGE_ARATH,,,,,,
144,PGSC0003DMG400032122,Cv653,XP_006354117.1,XM_006354055.2,--,Q9SRY4,PF00595//PF13414//PF00515,--,LPA1_ARATH,,,,,,
145,PGSC0003DMG400002386,Cv653,XP_006365914.1,XM_006365852.2,--,Q94AQ9,--,--,SGRL_ARATH,,,,,,
146,PGSC0003DMG400005108,Cv653,XP_006367090.1,XM_006367028.1,--,P33154,PF00771,KOG3017,PR1_ARATH,,,,,,
147,PGSC0003DMG400009105,Cv653,XP_006350578.1,XM_006350516.2,YME1,Q9FGM0,PF02367//PF07728//PF07724//PF06068//PF04494//PF05496//PF06414//PF01434//PF00004//PF01695,KOG0734,FTSHB_ARATH,,,,,,
148,PGSC0003DMG400006381,Cv653,XP_006364972.1,XM_006364910.2,hemA,P93111,PF13241//PF02558//PF02254//PF00745//PF02826//PF03446//PF03435//PF05201//PF03721//PF01408,--,HEM11_CUCSA,,,,,,
149,PGSC0003DMG400013334,Cv653,XP_006352383.1,XM_015310919.1,"RFWD2, COP1",P43254,PF16685//PF14634//PF13639//PF11789//PF04564//PF00400//PF00097//PF12678,KOG0272,COP1_ARATH,,,,,,
150,PGSC0003DMG402006194,Cv653,XP_006359688.1,XM_006359626.1,SPG20,O48832,--,--,ERD7_ARATH,,,,,,
151,PGSC0003DMG400028326,Cv653,XP_006348714.1,XM_006348652.2,PSMD10,O75832,PF13606//PF00023,KOG4177,PSD10_HUMAN,,,,,,
152,PGSC0003DMG401025624,Cv653,XP_006363579.1,XM_006363517.2,ARR-B,Q8GZ17,PF00072//PF04931//PF04833//PF07688//PF00553,--,COBL7_ARATH,,,,,,
153,PGSC0003DMG401029299,Cv653,XP_006453067.1,XM_006342440.2,EIF4A,Q8JFP1,PF01607//PF04851//PF07652//PF00270,KOG0327,IF4A2_CHICK,,,,,,
154,PGSC0003DMG400012522,Cv653,XP_009776168.1,XM_006358323.2,E2.3.3.10,P54873,PF08540//PF01154//PF08541,KOG1393,HMCS_ARATH,,,,,,
155,PGSC0003DMG400024535,Cv653,XP_006345115.1,XM_006345053.2,--,Q9LF24,--,--,LNG1_ARATH,,,,,,
156,PGSC0003DMG400001659,Cv653,XP_006359608.1,HG975440.1,--,Q6S4P4,PF00170,--,RF2B_ORYSJ,,,,,,
157,PGSC0003DMG400018288,Cv653,XP_006358537.1,XM_006358475.2,"LKAP, MARF1",Q9Y4F3,--,--,MARF1_HUMAN,,,,,,
158,PGSC0003DMG401008471,Cv653,XP_006338829.1,XR_366583.2,STXBP5,Q9Y2K9,PF00400,KOG1983,STB5L_HUMAN,,,,,,
159,PGSC0003DMG400007081,Cv653,XP_006348350.1,HG975446.1,"SPS, sds",Q8S948,--,KOG0776,SPS1_ARATH,,,,,,
160,PGSC0003DMG400033045,Cv653,XP_006354776.1,XM_006354714.2,--,--,--,--,-,,,,,,
161,PGSC0003DMG400024979,Cv653,XP_006339839.1,AK247802.1,--,--,--,--,-,,,,,,
162,PGSC0003DMG400010092,Cv653,XP_006338284.1,XM_006338222.2,--,Q0JKZ0,PF01370//PF03945//PF01073//PF00106,--,SNL6_ORYSJ,,,,,,
163,PGSC0003DMG400011964,Cv653,XP_006349557.1,XM_006349495.2,--,Q8VZ80,PF00083//PF05631//PF07690,KOG0254,PLT5_ARATH,,,,,,
164,PGSC0003DMG400023327,Cv653,XP_006345765.1,XM_015308040.1,--,A0SVK0,PF14144,--,DOG1_ARATH,,,,,,
165,PGSC0003DMG400023526,Cv653,XP_006345952.1,XM_006345890.2,--,B9HTK2,--,--,CSPLI_POPTR,,,,,,
166,PGSC0003DMG400015711,Cv653,XP_006363875.1,XM_006363813.2,--,Q6DBP4,PF00326//PF03283,--,PAE8_ARATH,,,,,,
167,PGSC0003DMG400016462,Cv653,XP_006348157.1,XM_006348095.2,--,Q94AU9,PF02990,--,RBCX1_ARATH,,,,,,
168,Novel00857,Cv653,XP_006361694.1,XM_006361632.2,--,F4JW79,PF00956,KOG1999,RDM3_ARATH,,,,,,
169,PGSC0003DMG400023206,Cv653,XP_004248660.1,XM_006366551.2,--,P27484,PF00098//PF00313,KOG3070,GRP2_NICSY,,,,,,
170,PGSC0003DMG400001570,Cv653,XP_010523643.1,XM_006340770.2,"katE, CAT, catB, srpA",P25819,PF00199,KOG0047,CATA2_ARATH,,,,,,
171,PGSC0003DMG400024310,Cv653,XP_006365987.1,XM_006365925.2,--,--,PF05349//PF11264,--,-,,,,,,
172,PGSC0003DMG400020150,Cv653,KCW60243.1,XM_015224477.1,"RP-L23e, RPL23",P49690,PF00238,KOG0901,RL23_ARATH,,,,,,
173,PGSC0003DMG400029659,Cv653,XP_004247847.1,XM_006360292.2,"RP-L13Ae, RPL13A",Q9FKC0,PF00572,KOG3204,R13A4_ARATH,,,,,,
174,PGSC0003DMG400029743,Cv653,XP_006351815.1,AK325871.1,"RBMX, HNRNPG",Q9LIN3,PF00076//PF00098//PF16367,--,RZ1A_ARATH,,,,,,
175,PGSC0003DMG400005931,Cv653,XP_004241336.1,AK322963.1,DHCR7,Q9LDU6,PF01222,KOG1435,ST7R_ARATH,,,,,,
176,Novel01880,Cv653,XP_006353903.1,XM_015311545.1,"TC.MATE, SLC47A, norM, mdtK, dinF",F4JTB3,PF01554,--,DTX35_ARATH,,,,,,
177,PGSC0003DMG401030700,Cv653,XP_006361238.1,XM_006361176.2,--,Q40392,PF00005//PF00004//PF13855//PF01582//PF00560//PF13676//PF00931//PF00437,--,TMVRN_NICGU,,,,,,
