,Gene_ID,Comparison,NR ID,NT ID,KO Name,Swissprot ID,PFAM ID,KOG ID,Hit1_acc,,,,,,
63,Cluster-67248.55799,Cv653,XP_011085946.1,XM_012994540.1,--,Q9FL41,PF00892,--,WTR38_ARATH,,,,,,
64,Cluster-67248.5858,Cv653,XP_009141833.1,XM_013889376.1,--,P10896,--,--,RCA_ARATH,,,,,,
65,Cluster-67248.57902,Cv653,XP_012855602.1,XM_011094092.1,--,H3K2Y6,PF13855//PF00560//PF11057//PF09497,--,MED12_ARATH,,,,,,
66,Cluster-67248.97736,Cv653,XP_011102236.1,XM_011103937.1,--,Q8LJW3,PF13291//PF01842,--,ACR4_ARATH,,,,,,
67,Cluster-67248.76270,Cv653,XP_012829722.1,--,--,--,--,--,-,,,,,,
68,Cluster-67248.115450,Cv653,XP_011074531.1,XM_011076229.1,--,Q6Y7W8,PF02213//PF08534,KOG1862,PERQ2_MOUSE,,,,,,
69,Cluster-67248.141316,Cv653,XP_011099247.1,XM_011100946.1,--,--,PF15339//PF03387//PF16944,--,-,,,,,,
70,Cluster-67248.128314,Cv653,XP_011076913.1,XM_011078611.1,--,Q2PCF1,PF00437//PF01637//PF00005//PF07728//PF13304//PF00910//PF03266//PF00004//PF01695,KOG0061,PDR2_NICPL,,,,,,
71,Cluster-67248.98373,Cv653,EYU20032.1,XM_013002671.1,CLTC,Q2RBN7,PF00637,KOG0985,CLH1_ORYSJ,,,,,,
72,Cluster-67248.84245,Cv653,XP_011092623.1,XM_012583769.1,--,Q9C6S7,PF03141//PF08241,--,PMTK_ARATH,,,,,,
73,Cluster-67248.55800,Cv653,XP_011085946.1,XM_011087644.1,--,Q9FL41,PF00892,--,WTR38_ARATH,,,,,,
74,Cluster-67248.139003,Cv653,XP_011073618.1,XM_011075316.1,SPA1,Q9T014,PF00551//PF00069//PF07714//PF00400,KOG0266,SPA2_ARATH,,,,,,
75,Cluster-67248.128273,Cv653,XP_011072986.1,XM_011074684.1,CALS,Q9SJM0,PF02364,KOG0916,CALSA_ARATH,,,,,,
76,Cluster-67248.154099,Cv653,XP_011099223.1,--,--,Q00624,PF07731//PF00394,--,ASOL_BRANA,,,,,,
77,Cluster-67248.4208,Cv653,XP_012462140.1,NM_001020.5,"RP-S16e, RPS16",Q29201,PF00380,KOG1753,RS16_PIG,,,,,,
78,Cluster-67248.107809,Cv653,XP_011102181.1,XM_009413109.1,"amt, AMT, MEP",O04161,PF00909,KOG0682,AMT12_SOLLC,,,,,,
79,Cluster-67248.18739,Cv653,XP_011097467.1,XM_011099165.1,--,--,PF13181//PF00515//PF13371//PF13414//PF03094,--,-,,,,,,
80,Cluster-67248.97002,Cv653,XP_011090085.1,XM_011091803.1,--,O81304,--,--,PAP11_ARATH,,,,,,
81,Cluster-67248.82520,Cv653,XP_011075280.1,XM_011076980.1,--,Q9XER9,PF02416,KOG1904,HUA2_ARATH,,,,,,
82,Cluster-7595.0,Cv653,XP_009113607.1,XM_009115359.1,LHCB5,Q9XF89,PF00538,--,CB5_ARATH,,,,,,
83,Cluster-34682.0,Cv653,XP_009138769.1,XM_009140521.1,LHCA2,Q9SYW8,PF15332,--,LHCA2_ARATH,,,,,,
84,Cluster-67248.115151,Cv653,XP_011090133.1,XM_011091831.1,"CNOT1, NOT1",Q6ZQ08,--,KOG1831,CNOT1_MOUSE,,,,,,
85,Cluster-67248.97453,Cv653,XP_012831652.1,XM_012976198.1,--,Q9SHJ8,PF03859//PF13606//PF01918//PF16113//PF01833//PF00378//PF00612//PF00023,KOG1684,HIBC8_ARATH,,,,,,
86,Cluster-67248.117440,Cv653,XP_011085468.1,XM_011102163.1,"EP300, CREBBP, KAT3",Q9C5X9,PF02135//PF02172,--,HAC1_ARATH,,,,,,
87,Cluster-67248.75344,Cv653,XP_007131701.1,--,--,O49607,--,--,SBT16_ARATH,,,,,,
88,Cluster-67248.39221,Cv653,AFI72638.1,JQ669253.1,--,Q3C1P6,--,--,TI214_NICSY,,,,,,
89,Cluster-67248.123409,Cv653,XP_011096143.1,XM_011097841.1,PDS5,Q5F3U9,PF05767,KOG1525,PDS5B_CHICK,,,,,,
90,Cluster-67248.29944,Cv653,--,HF679023.1,--,--,PF01213,--,-,,,,,,
91,Cluster-67248.102048,Cv653,XP_011092767.1,JX233817.1,"ispH, lytB",Q94B35,PF02401,--,ISPH_ARATH,,,,,,
92,Cluster-67248.90923,Cv653,XP_011082808.1,XM_011084506.1,SND1,Q9FLT0,--,KOG2039,TSN2_ARATH,,,,,,
93,Cluster-67248.78704,Cv653,XP_011081726.1,XM_013002406.1,--,--,--,--,-,,,,,,
94,Cluster-67248.142094,Cv653,XP_012842680.1,--,--,--,PF03126,--,-,,,,,,
95,Cluster-67248.55802,Cv653,XP_011085946.1,XM_012994540.1,--,Q9FL41,PF00892,--,WTR38_ARATH,,,,,,
96,Cluster-67248.101181,Cv653,XP_011089976.1,XM_012982495.1,SCPEP1,Q67Y83,PF00450//PF03789,KOG1283,SCP51_ARATH,,,,,,
97,Cluster-67248.84167,Cv653,XP_011094232.1,XR_848800.1,"IPI1, TEX10",Q9NXF1,--,KOG2149,TEX10_HUMAN,,,,,,
98,Cluster-67248.85825,Cv653,XP_012849133.1,XM_012993679.1,APR,P92979,PF00085//PF01507//PF00578,--,APR1_ARATH,,,,,,
99,Cluster-67248.30494,Cv653,XP_012834677.1,XM_012979223.1,"CSL4, EXOSC1",O59821,PF09726//PF10447,KOG3409,CSL4_SCHPO,,,,,,
100,Cluster-9143.0,Cv653,--,NM_003281.3,--,P19237,PF00992,KOG3977,TNNI1_HUMAN,,,,,,
101,Cluster-67248.68108,Cv653,XP_011081892.1,XM_011083590.1,--,O81016,PF01926//PF03193//PF00004//PF01637//PF00437//PF01061//PF05791//PF03503//PF13304//PF00005,KOG0065,AB32G_ARATH,,,,,,
102,Cluster-67248.117780,Cv653,XP_011079689.1,XM_011081387.1,--,F6QV99,PF05496//PF00004//PF01695//PF00498//PF02562//PF02367//PF06068//PF07724//PF07728//PF00910//PF07726,KOG0737,ATAD1_BOVIN,,,,,,
103,Cluster-67248.149503,Cv653,XP_011082948.1,XM_006586507.1,PIF1,Q0R4F1,PF00004//PF07728//PF00005//PF00910//PF04851//PF05970//PF01443//PF02367//PF00270//PF00006//PF00437//PF02562//PF03266//PF02689//PF00580//PF03205//PF01637//PF00931,KOG0987,PIF1_XENLA,,,,,,
104,Cluster-6227.0,Cv653,CDY52468.1,DQ244980.1,rbcS,P27985,--,--,RBS2_BRANA,,,,,,
105,Cluster-67248.98385,Cv653,XP_012838271.1,XM_012982817.1,"glnA, GLUL",P51119,PF00120,KOG0683,GLNA2_VITVI,,,,,,
106,Cluster-67248.147797,Cv653,XP_011080081.1,XM_011081780.1,FAO3,B5WWZ9,PF07992//PF01266//PF01494//PF05834//PF00732//PF12831//PF01020//PF05199//PF00070//PF01134,--,FAO2_LOTJA,,,,,,
107,Cluster-21903.0,Cv653,CDY28754.1,XM_009128821.1,"THI4, THI1",Q38814,PF12831//PF04983//PF00732//PF05834//PF01494//PF01266//PF07992//PF01134,KOG2960,THI4_ARATH,,,,,,
108,Cluster-67248.172501,Cv653,XP_011098426.1,--,--,P32583,--,KOG4735,SRP40_YEAST,,,,,,
109,Cluster-67248.118166,Cv653,XP_011094185.1,XM_011095883.1,"USP7, UBP15",Q9FPT1,PF00443//PF00917,KOG1863,UBP12_ARATH,,,,,,
110,Cluster-67248.133712,Cv653,XP_011098562.1,XM_011100260.1,"HUWE1, MULE, ARF-BP1",Q8H0T4,--,KOG0939,UPL2_ARATH,,,,,,
111,Cluster-67248.85225,Cv653,--,XR_847581.1,--,--,--,--,-,,,,,,
112,Cluster-67248.95858,Cv653,XP_011078439.1,XM_011080137.1,--,P85524,PF00407,--,KIRO_ACTDE,,,,,,
113,Cluster-67248.65881,Cv653,XP_012841109.1,XM_012985656.1,CNGF,Q8RWS9,PF00520//PF00612,KOG0501,CNGC5_ARATH,,,,,,
114,Cluster-67248.47429,Cv653,XP_011092919.1,GU367911.1,HMGCR,Q01559,PF00368,KOG2480,HMDH_NICSY,,,,,,
115,Cluster-67248.96071,Cv653,XP_011072897.1,XM_011074595.1,pepN,Q8H0S9,PF01433,KOG1046,PSA_ARATH,,,,,,
116,Cluster-67248.25091,Cv653,XP_011078928.1,XM_011080626.1,--,Q9LZA4,PF08241//PF03141,--,PMT7_ARATH,,,,,,
117,Cluster-67248.98079,Cv653,XP_011081228.1,--,--,P14009,--,--,14KD_DAUCA,,,,,,
118,Cluster-67248.22719,Cv653,XP_012846138.1,XM_011072246.1,--,F4HVJ3,--,KOG2490,POD1_ARATH,,,,,,
119,Cluster-67248.126128,Cv653,XP_012455452.1,XM_011101026.1,CSNK2A,Q08467,PF00069//PF06293//PF07714,KOG0668,CSK21_ARATH,,,,,,
120,Cluster-67248.114906,Cv653,XP_011085625.1,XM_011087323.1,EIF4G,Q76E23,--,--,IF4G_ARATH,,,,,,
121,Cluster-67248.124067,Cv653,--,--,--,--,PF06662,--,-,,,,,,
122,Cluster-67248.44437,Cv653,AJD25184.1,KP337690.1,--,P37121,PF00067,--,C76A1_SOLME,,,,,,
123,Cluster-67248.110830,Cv653,XP_011092343.1,XM_011089427.1,"glyA, SHMT",Q84WV0,PF00464//PF01212,KOG2467,GLYC7_ARATH,,,,,,
124,Cluster-67248.92568,Cv653,XP_011090976.1,XM_011092674.1,--,Q7DM58,PF00005//PF13304//PF00664//PF03193//PF01926,KOG0054,AB4C_ARATH,,,,,,
125,Cluster-67248.166488,Cv653,XP_011099420.1,--,HD-ZIP,P46604,--,--,HAT22_ARATH,,,,,,
126,Cluster-67248.145457,Cv653,XP_011099129.1,XM_012976016.1,"RPB1, POLR2A",P18616,PF00623//PF04998//PF03759//PF04983//PF05000//PF04992//PF04997,KOG0260,NRPB1_ARATH,,,,,,
127,Cluster-67248.121974,Cv653,XP_011071166.1,XM_011072864.1,"ACTR3, ARP3",Q9SAF1,PF06723,KOG0678,ARP3_ARATH,,,,,,
128,Cluster-67248.92208,Cv653,XP_011094843.1,XM_011096541.1,--,--,PF09254,--,-,,,,,,
129,Cluster-67248.113479,Cv653,XP_011088032.1,XM_011089732.1,FRAP,Q9FR53,PF02985//PF13414//PF01602//PF02259//PF13176//PF00454//PF00515//PF08771,KOG0891,TOR_ARATH,,,,,,
130,Cluster-67248.99044,Cv653,XP_011092655.1,XM_011094365.1,SMARCA2_4,Q6EVK6,PF00270//PF08880//PF00176//PF00439//PF01544//PF04851//PF06281,KOG0386,BRM_ARATH,,,,,,
131,Cluster-67248.68738,Cv653,XP_012830558.1,--,"E2.3.1.133, HCT",Q94FT4,PF02458,--,SALAT_PAPSO,,,,,,
132,Cluster-67248.100616,Cv653,XP_011070403.1,XM_011083057.1,--,--,--,--,-,,,,,,
133,Cluster-67248.25232,Cv653,XP_011094018.1,XM_011095716.1,K07052,Q40863,PF15681,KOG1838,EMB8_PICGL,,,,,,
134,Cluster-29414.0,Cv653,XP_008608886.1,AK249790.1,"SLC25A4S, ANT",Q05962,--,KOG0749,ADT1_RAT,,,,,,
135,Cluster-67248.34464,Cv653,XP_011082168.1,--,--,--,--,--,-,,,,,,
136,Cluster-67248.174527,Cv653,XP_011073806.1,XM_012988405.1,UTP20,Q5XG71,PF02854,KOG1823,UTP20_MOUSE,,,,,,
137,Cluster-67248.55128,Cv653,AFC36356.1,--,--,Q9ZTA3,--,--,AOP1C_ARATH,,,,,,
138,Cluster-67248.89076,Cv653,XP_011096156.1,XM_009804546.1,APR,P92980,PF00578//PF01507//PF00085,KOG0191,APR3_ARATH,,,,,,
139,Cluster-67248.120535,Cv653,AGS47792.1,KF153683.1,"ELF2C, AGO",Q9SJK3,PF02170//PF02171,KOG1041,AGO5_ARATH,,,,,,
140,Cluster-67248.80259,Cv653,XP_012834870.1,KU361593.1,"amt, AMT, MEP",Q6K9G1,PF00909,KOG0682,AMT12_ORYSJ,,,,,,
141,Cluster-67248.97742,Cv653,XP_011095559.1,XM_011097258.1,"HUWE1, MULE, ARF-BP1",Q8GY23,PF00344//PF00632//PF01004,KOG0939,UPL1_ARATH,,,,,,
142,Cluster-67248.75055,Cv653,XP_011083399.1,KF876015.1,ACACA,Q38970,PF02655//PF07478//PF02786,KOG0368,ACC1_ARATH,,,,,,
143,Cluster-67248.129896,Cv653,XP_012851178.1,XM_011100364.1,GBF1,Q42510,--,KOG0928,GNOM_ARATH,,,,,,
144,Cluster-67248.55801,Cv653,XP_011085946.1,XM_011087644.1,--,Q9FL41,PF00558//PF00892,--,WTR38_ARATH,,,,,,
145,Cluster-67248.101419,Cv653,XP_012849677.1,AB205137.1,TOP2,P30182,PF00521//PF00204//PF05864,KOG0355,TOP2_ARATH,,,,,,
146,Cluster-67248.145378,Cv653,--,--,--,--,PF07840,--,-,,,,,,
147,Cluster-67248.106499,Cv653,XP_011100717.1,XM_011082109.1,UBE3C,Q8RWB8,PF06309//PF06414//PF01121//PF00612//PF00620//PF00437//PF00485,KOG2200,UPL6_ARATH,,,,,,
148,Cluster-67248.96714,Cv653,XP_006430603.1,XM_009802681.1,"glnA, GLUL",P32289,PF03951//PF00120,KOG0683,GLNA_VIGAC,,,,,,
149,Cluster-67248.93194,Cv653,XP_011083695.1,XM_011085394.1,"GPI, pgi",P54235,PF00342,KOG2446,G6PI1_CLACO,,,,,,
150,Cluster-67248.130547,Cv653,XP_011090575.1,XM_011080551.1,TGA,Q39237,PF14144//PF07716//PF00170,--,TGA1_ARATH,,,,,,
151,Cluster-67248.100667,Cv653,XP_011070547.1,XM_012990602.1,THOC2,F4IAT2,PF04083//PF07926,KOG1874,THOC2_ARATH,,,,,,
152,Cluster-67248.61356,Cv653,XP_011096650.1,--,--,Q9S9V9,PF13516//PF12937//PF00646//PF13855,--,FBL23_ARATH,,,,,,
153,Cluster-67248.148421,Cv653,XP_012838913.1,--,--,--,--,--,-,,,,,,
154,Cluster-67248.108515,Cv653,XP_011095120.1,--,"WNK, PRKWNK",Q2RBE3,--,--,WNK7_ORYSJ,,,,,,
155,Cluster-67248.83843,Cv653,XP_011081711.1,XM_011097703.1,--,--,--,--,-,,,,,,
156,Cluster-67248.65027,Cv653,XP_011096196.1,XM_011097898.1,TIR1,Q570C0,PF12937,--,TIR1_ARATH,,,,,,
157,Cluster-67248.97054,Cv653,XP_012848123.1,XM_011088592.1,"E2.2.1.2, talA, talB",A8KYS5,PF00923,--,TAL_FRASN,,,,,,
158,Cluster-67248.98511,Cv653,P13851.1,XM_013878811.1,LHCB1,P13851,--,--,CB21_SINAL,,,,,,
159,Cluster-67248.147119,Cv653,XP_012854528.1,XM_011080038.1,--,O81016,PF00005//PF13304//PF01637//PF01061//PF03266//PF03796//PF01926//PF03193//PF00004,KOG0065,AB32G_ARATH,,,,,,
160,Cluster-67248.4354,Cv653,AIF75332.1,XM_013870180.1,rbcS,P27985,--,--,RBS2_BRANA,,,,,,
161,Cluster-67248.158990,Cv653,XP_011080534.1,XM_011082232.1,--,--,--,--,-,,,,,,
162,Cluster-67248.33940,Cv653,--,--,--,--,--,--,-,,,,,,
163,Cluster-67248.130546,Cv653,XP_011090575.1,XM_011080551.1,TGA,Q39237,PF00170//PF14144//PF07716,--,TGA1_ARATH,,,,,,
164,Cluster-67248.88914,Cv653,EYU17856.1,XM_012973634.1,VPS13A_C,Q54LN2,PF00168//PF05470,KOG1809,VP13D_DICDI,,,,,,
165,Cluster-67248.41890,Cv653,XP_012849044.1,XM_012993590.1,--,Q9Y7K5,PF02153//PF03088//PF00400,KOG0272,YGI3_SCHPO,,,,,,
166,Cluster-42771.0,Cv653,XP_006341997.1,XM_006341935.2,CTSF,Q9SUL1,PF00112//PF03051,KOG1543,RD19C_ARATH,,,,,,
167,Cluster-67248.140271,Cv653,XP_011080988.1,XM_012991074.1,--,P25386,PF02188,KOG0161,USO1_YEAST,,,,,,
168,Cluster-67248.103607,Cv653,XP_011099290.1,XM_012997066.1,--,F4HRT5,PF13762//PF04983,KOG4297,CRWN1_ARATH,,,,,,
169,Cluster-67248.128133,Cv653,XP_011071810.1,XM_011073512.1,--,--,PF01426//PF08711,--,-,,,,,,
170,Cluster-21194.2,Cv653,XP_009382840.1,--,"RP-L7e, RPL7",P0DJ13,--,KOG3184,RL7_TETTH,,,,,,
171,Cluster-67248.46132,Cv653,XP_011085288.1,XM_011086986.1,PHYE,P55004,PF08446//PF01590//PF00360,--,PHYE_IPONI,,,,,,
172,Cluster-67248.77198,Cv653,XP_011091282.1,XM_011092980.1,--,Q8S403,PF03124//PF00104,KOG1162,PHO1_ARATH,,,,,,
173,Cluster-67248.98503,Cv653,CDY66768.1,DQ246008.1,LHCB1,P04778,--,--,CB1C_ARATH,,,,,,
174,Cluster-67248.155958,Cv653,XP_002455338.1,--,--,P52577,PF00106//PF01370//PF02254,--,IFRH_ARATH,,,,,,
175,Cluster-67248.117442,Cv653,XP_011085468.1,XM_011087175.1,"EP300, CREBBP, KAT3",Q9C5X9,PF00628//PF02135//PF08214//PF16987//PF00569,KOG1778,HAC1_ARATH,,,,,,
176,Cluster-67248.55310,Cv653,XP_011086525.1,XM_011088223.1,--,F4JK59,PF04888//PF00892,--,WTR33_ARATH,,,,,,
177,Cluster-67248.123899,Cv653,XP_011098244.1,--,--,--,--,--,-,,,,,,
178,Cluster-67248.96719,Cv653,NP_001267644.1,XM_011087569.1,"glnA, GLUL",Q56WN1,PF00120//PF03951,KOG0683,GLN11_ARATH,,,,,,
179,Cluster-67248.41609,Cv653,XP_007015750.1,--,--,Q9LQL5,--,--,FB30_ARATH,,,,,,
180,Cluster-67248.95057,Cv653,XP_011101934.1,XM_011103645.1,--,O49285,PF13291//PF01842,--,ACR3_ARATH,,,,,,
181,Cluster-67248.90443,Cv653,AIE89798.1,KF437885.1,--,Q8RY95,PF13606//PF01844//PF12422//PF02690//PF03931//PF03110,--,SPL14_ARATH,,,,,,
182,Cluster-67248.98959,Cv653,XP_011080223.1,XM_011081922.1,CALS,Q9LXT9,PF02364,KOG0916,CALS3_ARATH,,,,,,
183,Cluster-67248.65394,Cv653,XP_011096358.1,XM_011098056.1,--,Q9FFH1,PF01186//PF05439//PF05920//PF00046//PF05066,KOG0490,RLT2_ARATH,,,,,,
184,Cluster-67248.39226,Cv653,XP_011087302.1,XM_011089000.1,ASCC3,Q9FNQ1,PF05924//PF00580//PF01695//PF00270//PF02562//PF00437//PF05529//PF04851,KOG0952,DEXHE_ARATH,,,,,,
