,Gene_ID,Comparison,Gene_name
54,PGSC0003DMG400002821,Cv653,XP_006344258.1
55,PGSC0003DMG400004299,Cv653,XP_006352051.1
56,Novel03005,Cv653,XP_009774821.1
57,PGSC0003DMG400025174,Cv653,XP_011088325.1
58,PGSC0003DMG400022500,Cv653,XP_006347814.1
59,PGSC0003DMG400012847,Cv653,XP_006344876.1
60,PGSC0003DMG400019667,Cv653,XP_006340229.1
61,Novel00371,Cv653,XP_006346506.1
62,PGSC0003DMG400019276,Cv653,XP_010324340.1
63,PGSC0003DMG401028515,Cv653,XP_006356195.1
64,PGSC0003DMG400031345,Cv653,XP_004235074.1
65,PGSC0003DMG400007160,Cv653,XP_006347206.1
66,PGSC0003DMG400015754,Cv653,XP_006365467.1
67,PGSC0003DMG400027017,Cv653,XP_006347303.1
68,PGSC0003DMG400026130,Cv653,NP_001275107.1
69,PGSC0003DMG400014293,Cv653,XP_006353392.1
70,PGSC0003DMG400035878,Cv653,NP_001292750.1
71,PGSC0003DMG400008443,Cv653,XP_006365855.1
72,PGSC0003DMG400027855,Cv653,XP_006367296.1
73,PGSC0003DMG400030575,Cv653,XP_006344166.1
74,PGSC0003DMG400010638,Cv653,XP_006364434.1
75,PGSC0003DMG400024857,Cv653,XP_006356329.1
76,PGSC0003DMG400018524,Cv653,XP_006350518.1
77,PGSC0003DMG400019764,Cv653,XP_007043295.1
78,PGSC0003DMG400015726,Cv653,XP_006341310.1
79,PGSC0003DMG400002738,Cv653,XP_006354966.1
80,PGSC0003DMG400012777,Cv653,XP_006339425.1
81,PGSC0003DMG400002541,Cv653,XP_004235660.1
82,PGSC0003DMG400020689,Cv653,AAL73184.1
83,PGSC0003DMG400017779,Cv653,XP_006366995.1
84,Novel02915,Cv653,XR_367201.2
85,PGSC0003DMG400046040,Cv653,HG975517.1
86,PGSC0003DMG400008420,Cv653,XP_006343478.1
87,PGSC0003DMG400022348,Cv653,XP_006347160.1
88,Novel02695,Cv653,XP_009798890.1
89,PGSC0003DMG400009414,Cv653,XP_006365013.1
90,PGSC0003DMG400013167,Cv653,XP_006339986.1
91,PGSC0003DMG401025318,Cv653,XP_006357327.1
92,Novel02204,Cv653,XP_009605272.1
93,PGSC0003DMG400015319,Cv653,XP_006358978.1
94,Novel02272,Cv653,HG975448.1
95,Novel00900,Cv653,NP_001234748.1
96,PGSC0003DMG400003144,Cv653,XP_006347573.1
97,PGSC0003DMG400023375,Cv653,XP_007144308.1
98,PGSC0003DMG400020021,Cv653,XP_004238353.1
99,PGSC0003DMG402003899,Cv653,XP_006354393.1
100,PGSC0003DMG400012762,Cv653,XP_006339429.1
101,Novel02003,Cv653,XP_006358038.1
102,PGSC0003DMG400024081,Cv653,XP_009593058.1
103,PGSC0003DMG400015334,Cv653,XP_006358945.1
104,Novel01300,Cv653,XP_004241368.1
105,PGSC0003DMG400015488,Cv653,XP_006346961.1
106,PGSC0003DMG400020050,Cv653,XP_006352779.1
107,PGSC0003DMG400025221,Cv653,XP_006351059.1
108,PGSC0003DMG400019511,Cv653,XP_006364593.1
109,PGSC0003DMG400021258,Cv653,XP_010691598.1
110,PGSC0003DMG400023728,Cv653,XP_006351404.1
111,PGSC0003DMG400025752,Cv653,XP_006346321.1
112,PGSC0003DMG400001631,Cv653,XP_006359655.1
113,PGSC0003DMG400019971,Cv653,XP_006364042.1
114,PGSC0003DMG400015464,Cv653,XP_006342578.1
115,PGSC0003DMG400030052,Cv653,XP_004237264.1
116,PGSC0003DMG400013887,Cv653,XP_010317324.1
117,PGSC0003DMG400031097,Cv653,XP_006366764.1
118,PGSC0003DMG402028683,Cv653,XP_006351033.1
119,PGSC0003DMG401018530,Cv653,XP_006350528.1
120,PGSC0003DMG401000554,Cv653,XP_006347531.1
121,PGSC0003DMG400030220,Cv653,XP_009608048.1
122,PGSC0003DMG400014879,Cv653,XP_006343201.1
123,PGSC0003DMG401018318,Cv653,XP_006357507.1
124,PGSC0003DMG400028815,Cv653,XP_010313685.1
125,PGSC0003DMG400020829,Cv653,XP_006358709.1
126,PGSC0003DMG400029406,Cv653,XP_006342537.1
127,PGSC0003DMG400017247,Cv653,XP_006354514.1
128,PGSC0003DMG400002426,Cv653,XP_006359571.1
129,PGSC0003DMG400018517,Cv653,XP_006350506.1
130,PGSC0003DMG400022983,Cv653,XP_006362450.1
131,PGSC0003DMG400025399,Cv653,XP_006343461.1
132,PGSC0003DMG400018291,Cv653,XP_006358546.1
133,PGSC0003DMG400020260,Cv653,XP_006338688.1
134,PGSC0003DMG400020118,Cv653,XP_006352790.1
135,PGSC0003DMG400024055,Cv653,XP_006356453.1
136,PGSC0003DMG400028620,Cv653,XP_006346589.1
137,PGSC0003DMG400008472,Cv653,XP_009594369.1
138,PGSC0003DMG400000708,Cv653,XP_006365107.1
139,PGSC0003DMG400022931,Cv653,XP_006352088.1
140,PGSC0003DMG400024838,Cv653,XP_006356337.1
141,Novel03457,Cv653,XP_006341228.1
142,Novel02216,Cv653,XR_001474331.1
143,PGSC0003DMG400009072,Cv653,XP_006350582.1
144,PGSC0003DMG400032122,Cv653,XP_006354117.1
145,PGSC0003DMG400002386,Cv653,XP_006365914.1
146,PGSC0003DMG400005108,Cv653,XP_006367090.1
147,PGSC0003DMG400009105,Cv653,XP_006350578.1
148,PGSC0003DMG400006381,Cv653,XP_006364972.1
149,PGSC0003DMG400013334,Cv653,XP_006352383.1
150,PGSC0003DMG402006194,Cv653,XP_006359688.1
151,PGSC0003DMG400028326,Cv653,XP_006348714.1
152,PGSC0003DMG401025624,Cv653,XP_006363579.1
153,PGSC0003DMG401029299,Cv653,XP_006453067.1
154,PGSC0003DMG400012522,Cv653,XP_009776168.1
155,PGSC0003DMG400024535,Cv653,XP_006345115.1
156,PGSC0003DMG400001659,Cv653,XP_006359608.1
157,PGSC0003DMG400018288,Cv653,XP_006358537.1
158,PGSC0003DMG401008471,Cv653,XP_006338829.1
159,PGSC0003DMG400007081,Cv653,XP_006348350.1
160,PGSC0003DMG400033045,Cv653,XP_006354776.1
161,PGSC0003DMG400024979,Cv653,XP_006339839.1
162,PGSC0003DMG400010092,Cv653,XP_006338284.1
163,PGSC0003DMG400011964,Cv653,XP_006349557.1
164,PGSC0003DMG400023327,Cv653,XP_006345765.1
165,PGSC0003DMG400023526,Cv653,XP_006345952.1
166,PGSC0003DMG400015711,Cv653,XP_006363875.1
167,PGSC0003DMG400016462,Cv653,XP_006348157.1
168,Novel00857,Cv653,XP_006361694.1
169,PGSC0003DMG400023206,Cv653,XP_004248660.1
170,PGSC0003DMG400001570,Cv653,XP_010523643.1
171,PGSC0003DMG400024310,Cv653,XP_006365987.1
172,PGSC0003DMG400020150,Cv653,KCW60243.1
173,PGSC0003DMG400029659,Cv653,XP_004247847.1
174,PGSC0003DMG400029743,Cv653,XP_006351815.1
175,PGSC0003DMG400005931,Cv653,XP_004241336.1
176,Novel01880,Cv653,XP_006353903.1
177,PGSC0003DMG401030700,Cv653,XP_006361238.1
178,PGSC0003DMG400003562,Cv653,XP_006340733.1
179,Novel03093,Cv653,XP_006351621.1
180,PGSC0003DMG400016290,Cv653,XP_006350687.1
181,Novel00329,Cv653,XP_006367944.1
182,PGSC0003DMG400006368,Cv653,XP_004237819.1
183,PGSC0003DMG402015935,Cv653,XP_006344553.1
184,PGSC0003DMG400029620,Cv653,CHS1B
185,PGSC0003DMG400018158,Cv653,XP_006344416.1
186,PGSC0003DMG404006439,Cv653,XP_006363464.1
187,PGSC0003DMG400027383,Cv653,NP_001275221.1
188,PGSC0003DMG400023943,Cv653,XP_004240891.1
189,PGSC0003DMG400000828,Cv653,XP_006362570.1
190,Novel02053,Cv653,XP_006340463.1
191,PGSC0003DMG400012763,Cv653,XP_006339428.1
192,Novel01462,Cv653,XP_006338224.1
193,PGSC0003DMG400011319,Cv653,XP_006342798.1
194,PGSC0003DMG400018819,Cv653,XP_006348023.1
195,PGSC0003DMG400016133,Cv653,XP_006353168.1
196,PGSC0003DMG400007707,Cv653,XP_006349931.1
197,Novel02232,Cv653,NP_001274952.1
198,PGSC0003DMG400008954,Cv653,XP_006341109.1
199,Novel03555,Cv653,XP_006360968.1
200,PGSC0003DMG400026970,Cv653,XP_006347388.1
201,PGSC0003DMG400021076,Cv653,XR_368663.2
202,Novel01091,Cv653,XP_006358985.1
203,PGSC0003DMG400023742,Cv653,XP_006349414.1
204,PGSC0003DMG400014513,Cv653,XP_010325168.1
205,PGSC0003DMG400019379,Cv653,XP_006358642.1
206,PGSC0003DMG400003707,Cv653,XP_006341997.1
207,PGSC0003DMG401030679,Cv653,XP_011078421.1
208,PGSC0003DMG400030984,Cv653,XP_006365235.1
209,PGSC0003DMG400010224,Cv653,XP_006362435.1
210,PGSC0003DMG400025239,Cv653,XP_006366493.1
211,PGSC0003DMG400016625,Cv653,XP_006358800.1
212,PGSC0003DMG400006991,Cv653,XP_004240045.1
213,PGSC0003DMG400030185,Cv653,XP_004236769.1
214,PGSC0003DMG400006185,Cv653,XP_006359704.1
215,PGSC0003DMG400028897,Cv653,XP_006360197.1
216,PGSC0003DMG400003766,Cv653,XP_004232469.1
217,PGSC0003DMG401024348,Cv653,XP_006346870.1
218,PGSC0003DMG401019352,Cv653,XP_006349707.1
219,PGSC0003DMG400026319,Cv653,XP_009630985.1
220,PGSC0003DMG400003155,Cv653,XP_006347575.1
221,PGSC0003DMG400030353,Cv653,XP_004241168.1
222,PGSC0003DMG400022263,Cv653,XP_008447787.1
223,PGSC0003DMG400017291,Cv653,XP_006348929.1
224,PGSC0003DMG400027594,Cv653,XP_006357301.1
225,PGSC0003DMG400027765,Cv653,XP_006339470.1
226,Novel00018,Cv653,XP_004228416.1
227,PGSC0003DMG400010661,Cv653,XP_006342732.1
228,PGSC0003DMG400023013,Cv653,NP_001275221.1
229,PGSC0003DMG400025836,Cv653,XP_006346287.1
230,PGSC0003DMG400027152,Cv653,XP_006355719.1
231,Novel03456,Cv653,XP_006341046.1
232,PGSC0003DMG400034293,Cv653,XP_006362492.1
233,PGSC0003DMG400029552,Cv653,XP_010648838.1
234,PGSC0003DMG400013816,Cv653,XP_006366754.1
235,PGSC0003DMG400029643,Cv653,XP_006360326.1
236,PGSC0003DMG401004779,Cv653,XP_006355507.1
237,Novel01816,Cv653,XP_006343307.1
238,Novel01973,Cv653,XP_006361393.1
239,PGSC0003DMG400027124,Cv653,XP_006355747.1
240,PGSC0003DMG400008351,Cv653,XP_009606047.1
241,PGSC0003DMG400012210,Cv653,XP_006439553.1
242,PGSC0003DMG400003380,Cv653,XP_006363248.1
243,PGSC0003DMG400003516,Cv653,XP_006340644.1
244,PGSC0003DMG400030692,Cv653,XP_006359544.1
245,PGSC0003DMG400031346,Cv653,XP_006355152.1
246,Novel00806,Cv653,XP_006338959.1
247,PGSC0003DMG400030957,Cv653,XP_006362019.1
248,PGSC0003DMG400027013,Cv653,XP_006347292.1
249,PGSC0003DMG400022420,Cv653,XP_006347093.1
250,PGSC0003DMG400014013,Cv653,XP_004252382.1
251,PGSC0003DMG400029830,Cv653,XP_006351289.1
252,PGSC0003DMG400003491,Cv653,XP_006338005.1
253,PGSC0003DMG400009909,Cv653,XP_006342136.1
254,PGSC0003DMG400024264,Cv653,XP_004246393.1
255,PGSC0003DMG400002217,Cv653,XP_006340022.1
256,PGSC0003DMG400015229,Cv653,XP_006351442.1
257,PGSC0003DMG400031326,Cv653,XP_006356501.1
258,PGSC0003DMG400011249,Cv653,XP_006352592.1
259,PGSC0003DMG400029074,Cv653,XP_009760221.1
260,PGSC0003DMG400024772,Cv653,XP_006344705.1
261,PGSC0003DMG400031110,Cv653,XP_006359116.1
262,PGSC0003DMG401029058,Cv653,XP_006338001.1
263,PGSC0003DMG400006993,Cv653,XP_006345522.1
264,PGSC0003DMG400024972,Cv653,XP_006339824.1
265,PGSC0003DMG401028661,Cv653,XP_006350966.1
266,PGSC0003DMG401011998,Cv653,XP_006340219.1
267,PGSC0003DMG400029617,Cv653,XP_006360331.1
268,PGSC0003DMG400011977,Cv653,XP_006341764.1
269,PGSC0003DMG400009440,Cv653,XP_006361948.1
270,PGSC0003DMG400014102,Cv653,XP_006342338.1
271,PGSC0003DMG400025098,Cv653,XP_006348602.1
272,PGSC0003DMG400018094,Cv653,XP_006343505.1
273,PGSC0003DMG400004625,Cv653,XP_006349828.1
274,PGSC0003DMG400027012,Cv653,NP_001275300.1
275,PGSC0003DMG400024765,Cv653,XP_006344695.1
276,PGSC0003DMG400031377,Cv653,XP_006355003.1
277,PGSC0003DMG401022455,Cv653,XP_006347837.1
278,PGSC0003DMG400029107,Cv653,XP_006352188.1
279,PGSC0003DMG400000286,Cv653,KHN42697.1
280,PGSC0003DMG401025807,Cv653,XP_006346443.1
281,PGSC0003DMG400008702,Cv653,XP_009618454.1
282,PGSC0003DMG400027530,Cv653,HG975521.1
283,PGSC0003DMG400026222,Cv653,XP_006359218.1
284,PGSC0003DMG400021761,Cv653,XP_006362364.1
285,Novel00819,Cv653,XP_012472885.1
286,PGSC0003DMG400031137,Cv653,XP_006359015.1
287,PGSC0003DMG400025161,Cv653,XP_004230848.1
288,PGSC0003DMG400003863,Cv653,XP_006354366.1
289,PGSC0003DMG400012191,Cv653,XP_006343946.1
290,PGSC0003DMG401024842,Cv653,XP_006356272.1
291,PGSC0003DMG401004368,Cv653,XP_006361331.1
292,PGSC0003DMG400021247,Cv653,XP_006360016.1
293,Novel00335,Cv653,CDP17221.1
294,PGSC0003DMG400029408,Cv653,Q9M5L6.1
295,PGSC0003DMG400008100,Cv653,XP_006340163.1
296,Novel02466,Cv653,XP_009794180.1
297,PGSC0003DMG400028160,Cv653,XP_006339141.1
298,PGSC0003DMG400031093,Cv653,XP_006366777.1
299,PGSC0003DMG400017341,Cv653,XP_006348942.1
300,PGSC0003DMG400010802,Cv653,CAB52708.1
301,PGSC0003DMG400021051,Cv653,AAV33689.1
302,PGSC0003DMG400012640,Cv653,NP_001234029.2
303,PGSC0003DMG400020703,Cv653,AAL73184.1
304,PGSC0003DMG401005911,Cv653,XP_004252282.1
305,PGSC0003DMG401000927,Cv653,XP_004243621.1
306,PGSC0003DMG400031166,Cv653,XP_006347985.1
307,PGSC0003DMG400028267,Cv653,XP_004249461.1
308,PGSC0003DMG400006610,Cv653,XP_006367657.1
309,PGSC0003DMG400025778,Cv653,XP_006346394.1
310,PGSC0003DMG400011907,Cv653,XP_009627422.1
311,PGSC0003DMG400008256,Cv653,XP_006349632.1
312,PGSC0003DMG400025459,Cv653,XP_006355306.1
313,PGSC0003DMG400007797,Cv653,XP_011082955.1
314,PGSC0003DMG400010437,Cv653,XP_009593067.1
315,PGSC0003DMG401021514,Cv653,XP_006362084.1
316,PGSC0003DMG400002167,Cv653,XP_006367669.1
317,PGSC0003DMG400001049,Cv653,EF514212.1
318,PGSC0003DMG400011451,Cv653,NP_001275630.1
319,PGSC0003DMG400028112,Cv653,CDX88826.1
320,PGSC0003DMG400025254,Cv653,XP_006366495.1
321,PGSC0003DMG400000505,Cv653,XP_006338538.1
322,PGSC0003DMG402022752,Cv653,XP_006358856.1
323,Novel01962,Cv653,XP_006360864.1
324,PGSC0003DMG402030647,Cv653,XP_004231993.1
325,PGSC0003DMG400027630,Cv653,XP_006348364.1
326,PGSC0003DMG400004643,Cv653,XP_006349947.1
327,PGSC0003DMG400028818,Cv653,XP_006352004.1
328,PGSC0003DMG400014322,Cv653,XP_006353340.1
329,PGSC0003DMG400032281,Cv653,XP_004240204.1
330,PGSC0003DMG400001630,Cv653,NP_001275605.1
331,PGSC0003DMG400020497,Cv653,XP_006362493.1
332,PGSC0003DMG400012547,Cv653,XP_006351761.1
333,PGSC0003DMG400027149,Cv653,XP_006355713.1
334,PGSC0003DMG400042481,Cv653,XP_006355874.1
335,Novel01084,Cv653,XP_006340397.1
336,PGSC0003DMG400029283,Cv653,NP_001274954.1
337,Novel00551,Cv653,XP_011087519.1
338,Novel03066,Cv653,XP_006344520.1
339,PGSC0003DMG400004605,Cv653,XP_003607667.1
340,PGSC0003DMG400009850,Cv653,XP_006367946.1
341,PGSC0003DMG400031787,Cv653,XP_006359846.1
342,PGSC0003DMG400022711,Cv653,XP_002532581.1
343,PGSC0003DMG400003993,Cv653,XP_006351012.1
344,PGSC0003DMG400008404,Cv653,XP_006338929.1
345,PGSC0003DMG403025662,Cv653,NP_001275612.1
346,PGSC0003DMG400005010,Cv653,XP_006360697.1
347,PGSC0003DMG400022578,Cv653,XP_004234555.1
348,Novel02733,Cv653,XP_006353685.1
349,PGSC0003DMG400004876,Cv653,XP_006357367.1
350,PGSC0003DMG400033874,Cv653,ABI98681.2
351,PGSC0003DMG400024685,Cv653,XP_006344614.1
352,PGSC0003DMG400026821,Cv653,XP_006367798.1
353,PGSC0003DMG400022225,Cv653,XP_006346230.1
354,Novel02346,Cv653,HG975448.1
355,PGSC0003DMG400022635,Cv653,XP_004238735.1
356,PGSC0003DMG401012456,Cv653,XP_006348232.1
357,PGSC0003DMG400012421,Cv653,XP_006348245.1
358,PGSC0003DMG400017570,Cv653,XP_006363892.1
359,PGSC0003DMG400029792,Cv653,XP_006344955.1
360,Novel01629,Cv653,XP_009779062.1
361,PGSC0003DMG400020589,Cv653,XP_006360928.1
362,PGSC0003DMG401014796,Cv653,XP_010325300.1
363,PGSC0003DMG400001834,Cv653,XP_006358626.1
364,PGSC0003DMG400033903,Cv653,XP_006349599.1
365,PGSC0003DMG400001410,Cv653,XP_006338484.1
366,PGSC0003DMG400030582,Cv653,XM_015307301.1
367,Novel03458,Cv653,XP_004246880.2
368,PGSC0003DMG400005871,Cv653,XP_006352200.1
369,PGSC0003DMG400043507,Cv653,XP_006363455.1
370,PGSC0003DMG400008724,Cv653,XP_006367001.1
371,PGSC0003DMG401030227,Cv653,XR_001473894.1
372,PGSC0003DMG400002597,Cv653,NP_001274905.1
373,Novel02246,Cv653,XP_011100883.1
374,PGSC0003DMG400016010,Cv653,XP_006367527.1
375,PGSC0003DMG400003960,Cv653,XP_004245716.1
376,PGSC0003DMG400000156,Cv653,XP_006339536.1
377,PGSC0003DMG400026212,Cv653,XP_006359208.1
378,PGSC0003DMG402024348,Cv653,XP_006346870.1
379,PGSC0003DMG400006450,Cv653,XP_006363475.1
380,PGSC0003DMG400027964,Cv653,XP_003637074.1
381,PGSC0003DMG400012242,Cv653,XP_012833462.1
382,PGSC0003DMG400013035,Cv653,XP_010533218.1
383,PGSC0003DMG400003679,Cv653,XP_006341941.1
384,PGSC0003DMG400009500,Cv653,XP_006362666.1
385,PGSC0003DMG400025007,Cv653,XP_006362949.1
386,PGSC0003DMG400020305,Cv653,XP_009626989.1
387,PGSC0003DMG400003056,Cv653,XP_006358889.1
388,PGSC0003DMG400004366,Cv653,XP_004252401.1
389,PGSC0003DMG400004913,Cv653,XP_006356846.1
390,PGSC0003DMG400032094,Cv653,XP_004229486.1
391,PGSC0003DMG400009565,Cv653,-
392,PGSC0003DMG400017330,Cv653,XP_004243248.1
393,PGSC0003DMG400025433,Cv653,XP_006367023.1
394,PGSC0003DMG400012012,Cv653,XP_004233550.1
395,Novel01922,Cv653,XP_006341392.1
396,PGSC0003DMG400027276,Cv653,XP_011075248.1
397,Novel00312,Cv653,XP_006339693.1
398,PGSC0003DMG400025006,Cv653,XP_006362948.1
399,PGSC0003DMG400012307,Cv653,XP_006343895.1
400,PGSC0003DMG400023629,Cv653,XP_009594693.1
401,PGSC0003DMG402006689,Cv653,XP_006365589.1
402,PGSC0003DMG400025317,Cv653,XP_010319718.1
403,PGSC0003DMG400017390,Cv653,XP_006357689.1
404,PGSC0003DMG400024093,Cv653,CBY16514.1
405,PGSC0003DMG400022589,Cv653,XP_006343386.1
406,PGSC0003DMG400006176,Cv653,XP_006359691.1
407,PGSC0003DMG400002156,Cv653,XP_006358705.1
408,Novel01130,Cv653,XP_006349908.1
409,Novel01974,Cv653,XP_006361386.1
410,PGSC0003DMG400014666,Cv653,HG975440.1
411,PGSC0003DMG401019602,Cv653,XP_006358205.1
412,PGSC0003DMG400005109,Cv653,XP_006367089.1
413,PGSC0003DMG400004043,Cv653,XP_006341292.1
414,PGSC0003DMG403005911,Cv653,XP_006361121.1
415,PGSC0003DMG400033616,Cv653,XP_006356611.1
416,PGSC0003DMG400020844,Cv653,XP_004240397.1
417,PGSC0003DMG400023344,Cv653,XP_006345801.1
418,PGSC0003DMG400005170,Cv653,XP_006356519.1
419,Novel02692,Cv653,XP_006357569.1
420,PGSC0003DMG400018922,Cv653,XP_006365379.1
421,PGSC0003DMG400010310,Cv653,XP_004247352.1
422,PGSC0003DMG401011946,Cv653,XP_006366981.1
423,PGSC0003DMG400026211,Cv653,XP_006359207.1
424,PGSC0003DMG400027965,Cv653,XP_003637074.1
425,PGSC0003DMG400008313,Cv653,XP_006365565.1
426,PGSC0003DMG400019190,Cv653,XP_009767861.1
427,PGSC0003DMG400012261,Cv653,XP_006343828.1
428,PGSC0003DMG400028520,Cv653,XP_006356251.1
429,PGSC0003DMG400005837,Cv653,XP_006352251.1
430,PGSC0003DMG400015287,Cv653,XP_006351572.1
431,PGSC0003DMG400018115,Cv653,XP_006344465.1
432,PGSC0003DMG402015682,Cv653,XP_006364649.1
433,PGSC0003DMG400004630,Cv653,XP_007035631.1
434,PGSC0003DMG400027393,Cv653,XP_006340352.1
435,PGSC0003DMG400031119,Cv653,XP_006359111.1
436,PGSC0003DMG402015759,Cv653,NP_001275476.1
437,PGSC0003DMG400007010,Cv653,XP_006345551.1
438,PGSC0003DMG401011539,Cv653,XP_004252730.1
439,Novel03101,Cv653,XP_006368069.1
440,PGSC0003DMG400016227,Cv653,XP_006353224.1
441,PGSC0003DMG400016145,Cv653,XP_004250124.1
442,PGSC0003DMG400004082,Cv653,XP_006354751.1
443,PGSC0003DMG400021142,Cv653,AIL30492.1
444,PGSC0003DMG400035337,Cv653,XP_006364413.1
445,Novel01122,Cv653,XP_006344919.1
446,Novel00009,Cv653,XP_010327465.1
447,PGSC0003DMG400008079,Cv653,XP_006340196.1
448,PGSC0003DMG400012951,Cv653,XP_006354715.1
449,PGSC0003DMG400018328,Cv653,XP_006357533.1
450,PGSC0003DMG400018235,Cv653,XP_006358567.1
451,Novel00406,Cv653,XP_006348575.1
452,PGSC0003DMG400014875,Cv653,XP_006343202.1
453,PGSC0003DMG400008187,Cv653,XP_006351607.1
454,PGSC0003DMG400019072,Cv653,XP_006362639.1
455,PGSC0003DMG400016120,Cv653,AIX87516.1
456,PGSC0003DMG400011272,Cv653,XP_006352572.1
457,Novel03538,Cv653,XP_006366371.1
458,PGSC0003DMG400008163,Cv653,XP_006351257.1
459,PGSC0003DMG400013022,Cv653,XP_009587554.1
460,PGSC0003DMG400003521,Cv653,XP_006340651.1
461,Novel00827,Cv653,XP_004249188.1
462,PGSC0003DMG400014800,Cv653,XP_006352890.1
463,Novel03041,Cv653,HG975447.1
464,PGSC0003DMG400003522,Cv653,XP_009792096.1
465,Novel00024,Cv653,XP_006367172.1
466,PGSC0003DMG400024959,Cv653,XP_006339854.1
467,PGSC0003DMG400015636,Cv653,XP_006352158.1
468,PGSC0003DMG400011655,Cv653,XP_006365329.1
469,PGSC0003DMG400014582,Cv653,XP_006360404.1
470,PGSC0003DMG400022426,Cv653,XP_006347177.1
471,Novel00702,Cv653,XP_009804381.1
472,PGSC0003DMG400026163,Cv653,XP_006360552.1
473,PGSC0003DMG400025632,Cv653,AAU90342.2
474,PGSC0003DMG400022433,Cv653,XP_006347074.1
475,PGSC0003DMG400016508,Cv653,CDO98060.1
476,PGSC0003DMG400012562,Cv653,XP_006351791.1
477,PGSC0003DMG401022752,Cv653,XP_006358855.1
478,PGSC0003DMG400033689,Cv653,XP_006363989.1
479,PGSC0003DMG400009536,Cv653,XP_006357045.1
480,PGSC0003DMG400029061,Cv653,XP_006338003.1
481,PGSC0003DMG400031728,Cv653,-
482,PGSC0003DMG400004686,Cv653,XP_003607667.1
483,PGSC0003DMG400003291,Cv653,XP_006347675.1
484,PGSC0003DMG400003123,Cv653,XP_004230887.1
485,PGSC0003DMG400008796,Cv653,XP_006367747.1
486,PGSC0003DMG400021345,Cv653,XP_006348419.1
487,PGSC0003DMG400025305,Cv653,XP_004240426.1
488,PGSC0003DMG400025108,Cv653,XR_367384.2
489,PGSC0003DMG400031471,Cv653,XP_006367732.1
490,PGSC0003DMG400021726,Cv653,XP_006365877.1
491,PGSC0003DMG400033082,Cv653,XP_006354779.1
492,PGSC0003DMG400029517,Cv653,XP_006355064.1
493,PGSC0003DMG400009061,Cv653,XP_006350621.1
494,Novel02546,Cv653,XR_367030.2
495,PGSC0003DMG400011029,Cv653,XP_006339277.1
496,Novel01845,Cv653,XR_368620.2
497,PGSC0003DMG400002837,Cv653,XP_006344290.1
