GO_acc,term_type,Term,queryitem,querytotal,bgitem,bgtotal,pvalue,FDR,entries
GO:0006810,P,transport,6,28,1846,37767,0.002,0.014,// mRNA_2656 // mRNA_8071 // mRNA_8402 // mRNA_8909 // mRNA_3553 // mRNA_4763 
GO:0051234,P,establishment of localization,6,28,1851,37767,0.0021,0.014,// mRNA_2656 // mRNA_8071 // mRNA_8402 // mRNA_8909 // mRNA_3553 // mRNA_4763 
GO:0051179,P,localization,6,28,1922,37767,0.0025,0.016,// mRNA_2656 // mRNA_8071 // mRNA_8402 // mRNA_8909 // mRNA_3553 // mRNA_4763 
GO:0006139,P,"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process",7,28,3198,37767,0.0075,0.044,// mRNA_1520 // mRNA_9681 // mRNA_2656 // mRNA_10198 // mRNA_1128 // mRNA_3553 // mRNA_4763 
GO:0009058,P,biosynthetic process,9,28,5118,37767,0.0094,0.051,// mRNA_1520 // mRNA_621 // mRNA_2656 // mRNA_1128 // mRNA_190 // mRNA_8909 // mRNA_1402 // mRNA_4763 // mRNA_3553 
GO:0044249,P,cellular biosynthetic process,8,28,4925,37767,0.023,0.12,// mRNA_1520 // mRNA_621 // mRNA_2656 // mRNA_1128 // mRNA_8909 // mRNA_1402 // mRNA_4763 // mRNA_3553 
GO:0044237,P,cellular metabolic process,11,28,8722,37767,0.041,0.19,// mRNA_1520 // mRNA_9681 // mRNA_621 // mRNA_2656 // mRNA_10198 // mRNA_1128 // mRNA_8909 // mRNA_1402 // mRNA_4763 // mRNA_3553 // mRNA_8635 
GO:0010467,P,gene expression,6,28,3962,37767,0.067,0.3,// mRNA_1520 // mRNA_9681 // mRNA_2656 // mRNA_1128 // mRNA_3553 // mRNA_4763 
GO:0009987,P,cellular process,12,28,11684,37767,0.12,0.53,// mRNA_1520 // mRNA_9681 // mRNA_621 // mRNA_2656 // mRNA_10198 // mRNA_1128 // mRNA_8909 // mRNA_1402 // mRNA_4763 // mRNA_5735 // mRNA_3553 // mRNA_8635 
GO:0044238,P,primary metabolic process,9,28,8995,37767,0.2,0.83,// mRNA_1520 // mRNA_9681 // mRNA_2656 // mRNA_10198 // mRNA_1128 // mRNA_8909 // mRNA_1402 // mRNA_4763 // mRNA_3553 
GO:0044260,P,cellular macromolecule metabolic process,6,28,6447,37767,0.34,1,// mRNA_1520 // mRNA_9681 // mRNA_2656 // mRNA_1128 // mRNA_3553 // mRNA_4763 
GO:0043170,P,macromolecule metabolic process,7,28,7127,37767,0.27,1,// mRNA_1520 // mRNA_9681 // mRNA_2656 // mRNA_10198 // mRNA_1128 // mRNA_3553 // mRNA_4763 
GO:0050662,F,coenzyme binding,7,28,191,37767,1.10E-10,4.30E-09,// mRNA_9681 // mRNA_4149 // mRNA_4323 // mRNA_6063 // mRNA_2656 // mRNA_8909 // mRNA_4763 
GO:0048037,F,cofactor binding,7,28,246,37767,5.80E-10,1.20E-08,// mRNA_9681 // mRNA_4149 // mRNA_4323 // mRNA_6063 // mRNA_2656 // mRNA_8909 // mRNA_4763 
GO:0016491,F,oxidoreductase activity,11,28,1463,37767,3.60E-09,4.70E-08,// mRNA_9681 // mRNA_4149 // mRNA_4323 // mRNA_6063 // mRNA_2656 // mRNA_34 // mRNA_8909 // mRNA_4763 // mRNA_5735 // mRNA_183 // mRNA_8451 
GO:0050660,F,FAD binding,5,28,79,37767,4.50E-09,4.70E-08,// mRNA_9681 // mRNA_2656 // mRNA_4763 // mRNA_6063 // mRNA_4149 
GO:0003824,F,catalytic activity,20,28,9638,37767,4.70E-07,3.90E-06,// mRNA_9681 // mRNA_4149 // mRNA_4323 // mRNA_6063 // mRNA_10347 // mRNA_621 // mRNA_2785 // mRNA_2656 // mRNA_10198 // mRNA_34 // mRNA_8071 // mRNA_190 // mRNA_8909 // mRNA_1402 // mRNA_4763 // mRNA_5735 // mRNA_3553 // mRNA_8635 // mRNA_183 // mRNA_8451 
GO:0043167,F,ion binding,10,28,2087,37767,1.40E-06,9.70E-06,// mRNA_9681 // mRNA_4149 // mRNA_6063 // mRNA_2656 // mRNA_34 // mRNA_8071 // mRNA_8909 // mRNA_3553 // mRNA_4763 // mRNA_6246 
GO:0001883,F,purine nucleoside binding,8,28,1465,37767,8.10E-06,3.70E-05,// mRNA_9681 // mRNA_4149 // mRNA_6063 // mRNA_2656 // mRNA_8071 // mRNA_8909 // mRNA_3553 // mRNA_4763 
GO:0001882,F,nucleoside binding,8,28,1465,37767,8.10E-06,3.70E-05,// mRNA_9681 // mRNA_4149 // mRNA_6063 // mRNA_2656 // mRNA_8071 // mRNA_8909 // mRNA_3553 // mRNA_4763 
GO:0030554,F,adenyl nucleotide binding,8,28,1465,37767,8.10E-06,3.70E-05,// mRNA_9681 // mRNA_4149 // mRNA_6063 // mRNA_2656 // mRNA_8071 // mRNA_8909 // mRNA_3553 // mRNA_4763 
GO:0000166,F,nucleotide binding,9,28,2267,37767,2.50E-05,9.40E-05,// mRNA_9681 // mRNA_4149 // mRNA_4323 // mRNA_6063 // mRNA_2656 // mRNA_8071 // mRNA_8909 // mRNA_3553 // mRNA_4763 
GO:0017076,F,purine nucleotide binding,8,28,1713,37767,2.50E-05,9.40E-05,// mRNA_9681 // mRNA_4149 // mRNA_6063 // mRNA_2656 // mRNA_8071 // mRNA_8909 // mRNA_3553 // mRNA_4763 
GO:0005488,F,binding,16,28,11258,37767,0.0024,0.0082,// mRNA_1520 // mRNA_9681 // mRNA_4323 // mRNA_6063 // mRNA_5735 // mRNA_8071 // mRNA_10198 // mRNA_34 // mRNA_1128 // mRNA_8909 // mRNA_6472 // mRNA_4763 // mRNA_4149 // mRNA_3553 // mRNA_2656 // mRNA_6246 
GO:0016787,F,hydrolase activity,5,28,3468,37767,0.11,0.35,// mRNA_8909 // mRNA_3553 // mRNA_10198 // mRNA_8071 // mRNA_190 
GO:0016021,C,integral to membrane,5,28,395,37767,1.00E-05,0.00015,// mRNA_8909 // mRNA_1128 // mRNA_9681 // mRNA_8071 // mRNA_3553 
GO:0031224,C,intrinsic to membrane,5,28,806,37767,0.00029,0.0022,// mRNA_8909 // mRNA_1128 // mRNA_9681 // mRNA_8071 // mRNA_3553 
GO:0044425,C,membrane part,5,28,1360,37767,0.003,0.015,// mRNA_8909 // mRNA_1128 // mRNA_9681 // mRNA_8071 // mRNA_3553 
GO:0016020,C,membrane,6,28,4068,37767,0.074,0.27,// mRNA_9681 // mRNA_8071 // mRNA_1128 // mRNA_8402 // mRNA_8909 // mRNA_3553 
GO:0005623,C,cell,7,28,15217,37767,0.97,1,// mRNA_9681 // mRNA_1520 // mRNA_8071 // mRNA_1128 // mRNA_8402 // mRNA_8909 // mRNA_3553 
GO:0044464,C,cell part,7,28,15217,37767,0.97,1,// mRNA_9681 // mRNA_1520 // mRNA_8071 // mRNA_1128 // mRNA_8402 // mRNA_8909 // mRNA_3553 
