GO_acc,term_type,Term,queryitem,querytotal,bgitem,bgtotal,pvalue,FDR,entries
GO:0051252,P,regulation of RNA metabolic process,6,60,996,37767,0.005,0.092,// PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0006355,P,"regulation of transcription, DNA-dependent",6,60,987,37767,0.0048,0.092,// PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0019752,P,carboxylic acid metabolic process,5,60,859,37767,0.012,0.17,// PGSC0003DMG400010819 // PGSC0003DMG400020999 // PGSC0003DMG400016535 // PGSC0003DMG400002473 // Novel00135 
GO:0043436,P,oxoacid metabolic process,5,60,859,37767,0.012,0.17,// PGSC0003DMG400010819 // PGSC0003DMG400020999 // PGSC0003DMG400016535 // PGSC0003DMG400002473 // Novel00135 
GO:0005975,P,carbohydrate metabolic process,5,60,866,37767,0.012,0.17,// PGSC0003DMG400016365 // PGSC0003DMG400008796 // PGSC0003DMG400001528 // PGSC0003DMG400029830 // PGSC0003DMG400000735 
GO:0006082,P,organic acid metabolic process,5,60,860,37767,0.012,0.17,// PGSC0003DMG400010819 // PGSC0003DMG400020999 // PGSC0003DMG400016535 // PGSC0003DMG400002473 // Novel00135 
GO:0042180,P,cellular ketone metabolic process,5,60,882,37767,0.013,0.17,// PGSC0003DMG400010819 // PGSC0003DMG400020999 // PGSC0003DMG400016535 // PGSC0003DMG400002473 // Novel00135 
GO:0006807,P,nitrogen compound metabolic process,12,60,3826,37767,0.016,0.19,// PGSC0003DMG400016535 // PGSC0003DMG400030880 // PGSC0003DMG400024157 // PGSC0003DMG400008796 // PGSC0003DMG400001528 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400002473 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0016070,P,RNA metabolic process,7,60,1657,37767,0.016,0.19,// PGSC0003DMG400015342 // PGSC0003DMG400024157 // PGSC0003DMG400030880 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0044238,P,primary metabolic process,22,60,8995,37767,0.018,0.2,// PGSC0003DMG400010819 // PGSC0003DMG400029830 // PGSC0003DMG400014248 // Novel01306 // PGSC0003DMG400008796 // PGSC0003DMG400016535 // PGSC0003DMG400024157 // PGSC0003DMG400001528 // PGSC0003DMG400002045 // PGSC0003DMG400020999 // PGSC0003DMG400033634 // PGSC0003DMG400030880 // PGSC0003DMG400002473 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400015342 // PGSC0003DMG400011792 // PGSC0003DMG400000735 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400009414 // PGSC0003DMG400008677 
GO:0044237,P,cellular metabolic process,21,60,8722,37767,0.025,0.26,// PGSC0003DMG400025632 // PGSC0003DMG400010819 // PGSC0003DMG400016535 // Novel00135 // PGSC0003DMG400024157 // Novel01306 // PGSC0003DMG400020999 // PGSC0003DMG400001528 // PGSC0003DMG400030880 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400000735 // PGSC0003DMG400020206 // PGSC0003DMG400011792 // PGSC0003DMG400002473 // PGSC0003DMG400016365 // PGSC0003DMG400010638 // PGSC0003DMG400011406 // PGSC0003DMG400008796 // PGSC0003DMG400002045 // PGSC0003DMG400008677 
GO:0006810,P,transport,7,60,1846,37767,0.027,0.27,// PGSC0003DMG400016535 // PGSC0003DMG400011953 // PGSC0003DMG400020206 // PGSC0003DMG400013297 // PGSC0003DMG400005269 // PGSC0003DMG400011949 // PGSC0003DMG402003297 
GO:0051234,P,establishment of localization,7,60,1851,37767,0.027,0.27,// PGSC0003DMG400016535 // PGSC0003DMG400011953 // PGSC0003DMG400020206 // PGSC0003DMG400013297 // PGSC0003DMG400005269 // PGSC0003DMG400011949 // PGSC0003DMG402003297 
GO:0051179,P,localization,7,60,1922,37767,0.032,0.3,// PGSC0003DMG400016535 // PGSC0003DMG400011953 // PGSC0003DMG400020206 // PGSC0003DMG400013297 // PGSC0003DMG400005269 // PGSC0003DMG400011949 // PGSC0003DMG402003297 
GO:0006350,P,transcription,7,60,1923,37767,0.033,0.3,// PGSC0003DMG400015342 // PGSC0003DMG400024157 // PGSC0003DMG400030880 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0044249,P,cellular biosynthetic process,13,60,4925,37767,0.043,0.38,// PGSC0003DMG400010819 // PGSC0003DMG400016535 // PGSC0003DMG400020999 // PGSC0003DMG400024157 // Novel01306 // PGSC0003DMG400030880 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400000735 // PGSC0003DMG400020206 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0009987,P,cellular process,25,60,11684,37767,0.051,0.43,// PGSC0003DMG400010819 // PGSC0003DMG400028173 // Novel01306 // PGSC0003DMG400020206 // PGSC0003DMG400013297 // PGSC0003DMG400011406 // PGSC0003DMG400016535 // PGSC0003DMG400024157 // PGSC0003DMG400005269 // PGSC0003DMG400001528 // PGSC0003DMG400002045 // Novel00135 // PGSC0003DMG400020999 // PGSC0003DMG400030880 // PGSC0003DMG400002473 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400015342 // PGSC0003DMG400008796 // PGSC0003DMG400011792 // PGSC0003DMG400000735 // PGSC0003DMG400010067 // PGSC0003DMG400010638 // PGSC0003DMG400008677 // PGSC0003DMG402003297 
GO:0009058,P,biosynthetic process,13,60,5118,37767,0.056,0.46,// PGSC0003DMG400010819 // PGSC0003DMG400016535 // PGSC0003DMG400020999 // PGSC0003DMG400024157 // Novel01306 // PGSC0003DMG400030880 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400000735 // PGSC0003DMG400020206 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0019222,P,regulation of metabolic process,7,60,2210,37767,0.061,0.47,// PGSC0003DMG400004735 // PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0045449,P,regulation of transcription,6,60,1802,37767,0.066,0.47,// PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0050789,P,regulation of biological process,10,60,3697,37767,0.065,0.47,// PGSC0003DMG400004735 // PGSC0003DMG400028173 // PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400016365 // PGSC0003DMG400011406 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0065007,P,biological regulation,11,60,4188,37767,0.064,0.47,// PGSC0003DMG400004735 // PGSC0003DMG400028173 // PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400013297 // PGSC0003DMG400016365 // PGSC0003DMG400011406 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0019219,P,"regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process",6,60,1847,37767,0.073,0.49,// PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0010556,P,regulation of macromolecule biosynthetic process,6,60,1843,37767,0.072,0.49,// PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0031326,P,regulation of cellular biosynthetic process,6,60,1881,37767,0.078,0.49,// PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0009889,P,regulation of biosynthetic process,6,60,1881,37767,0.078,0.49,// PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0051171,P,regulation of nitrogen compound metabolic process,6,60,1888,37767,0.079,0.49,// PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0050794,P,regulation of cellular process,9,60,3375,37767,0.085,0.51,// PGSC0003DMG400028173 // PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400016365 // PGSC0003DMG400011406 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0080090,P,regulation of primary metabolic process,6,60,1952,37767,0.089,0.53,// PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0010468,P,regulation of gene expression,6,60,2001,37767,0.098,0.56,// PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0031323,P,regulation of cellular metabolic process,6,60,2036,37767,0.1,0.58,// PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0060255,P,regulation of macromolecule metabolic process,6,60,2060,37767,0.11,0.59,// PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0006139,P,"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process",8,60,3198,37767,0.13,0.71,// PGSC0003DMG400015342 // PGSC0003DMG400024157 // PGSC0003DMG400030880 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0043170,P,macromolecule metabolic process,15,60,7127,37767,0.15,0.78,// PGSC0003DMG400030880 // PGSC0003DMG400009414 // PGSC0003DMG400024157 // PGSC0003DMG400008796 // PGSC0003DMG400001528 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400000735 // PGSC0003DMG400020206 // PGSC0003DMG400011792 // PGSC0003DMG400014248 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400002045 // PGSC0003DMG400008677 
GO:0006950,P,response to stress,6,60,2320,37767,0.16,0.83,// PGSC0003DMG400016535 // PGSC0003DMG400014293 // PGSC0003DMG400020605 // PGSC0003DMG400016365 // PGSC0003DMG400019437 // PGSC0003DMG400002487 
GO:0034645,P,cellular macromolecule biosynthetic process,8,60,3661,37767,0.22,1,// PGSC0003DMG400000735 // PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400030880 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0044260,P,cellular macromolecule metabolic process,13,60,6447,37767,0.22,1,// PGSC0003DMG400030880 // PGSC0003DMG400024157 // PGSC0003DMG400008796 // PGSC0003DMG400001528 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400000735 // PGSC0003DMG400020206 // PGSC0003DMG400011792 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400002045 // PGSC0003DMG400008677 
GO:0010467,P,gene expression,7,60,3962,37767,0.44,1,// PGSC0003DMG400015342 // PGSC0003DMG400024157 // PGSC0003DMG400030880 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0009059,P,macromolecule biosynthetic process,8,60,3685,37767,0.23,1,// PGSC0003DMG400000735 // PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400030880 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0019538,P,protein metabolic process,5,60,4009,37767,0.78,1,// PGSC0003DMG400014248 // PGSC0003DMG400009414 // PGSC0003DMG400002045 // PGSC0003DMG400011792 // PGSC0003DMG400016365 
GO:0050896,P,response to stimulus,8,60,4057,37767,0.31,1,// PGSC0003DMG400016535 // PGSC0003DMG400028173 // PGSC0003DMG400014293 // PGSC0003DMG400020605 // PGSC0003DMG400024157 // PGSC0003DMG400016365 // PGSC0003DMG400019437 // PGSC0003DMG400002487 
GO:0043167,F,ion binding,17,60,2087,37767,1.70E-08,1.40E-06,// PGSC0003DMG400020809 // Novel00135 // PGSC0003DMG400014248 // Novel01306 // PGSC0003DMG400020999 // PGSC0003DMG400011792 // PGSC0003DMG400002612 // PGSC0003DMG400029201 // PGSC0003DMG400000735 // PGSC0003DMG400002473 // PGSC0003DMG400000425 // PGSC0003DMG400016365 // PGSC0003DMG400009810 // PGSC0003DMG400026871 // PGSC0003DMG400002045 // PGSC0003DMG400029517 // PGSC0003DMG400002487 
GO:0016491,F,oxidoreductase activity,12,60,1463,37767,2.90E-06,0.00012,// PGSC0003DMG400020809 // Novel02885 // PGSC0003DMG400020999 // Novel01306 // PGSC0003DMG400002612 // PGSC0003DMG400032121 // PGSC0003DMG400000425 // PGSC0003DMG400011406 // PGSC0003DMG400033634 // PGSC0003DMG400026871 // PGSC0003DMG400009810 // PGSC0003DMG400029517 
GO:0003824,F,catalytic activity,31,60,9638,37767,1.30E-05,0.00036,// PGSC0003DMG400010819 // PGSC0003DMG400029830 // Novel02419 // Novel01306 // PGSC0003DMG400007800 // PGSC0003DMG400002612 // PGSC0003DMG400029201 // PGSC0003DMG400010638 // PGSC0003DMG400032121 // PGSC0003DMG400011406 // PGSC0003DMG400029517 // PGSC0003DMG400011655 // PGSC0003DMG400020809 // Novel02885 // PGSC0003DMG400001528 // PGSC0003DMG400009810 // PGSC0003DMG400002045 // Novel00135 // PGSC0003DMG400020999 // PGSC0003DMG400026871 // PGSC0003DMG402009879 // PGSC0003DMG400033634 // PGSC0003DMG400030880 // PGSC0003DMG400002473 // PGSC0003DMG400016365 // PGSC0003DMG400011792 // PGSC0003DMG400000425 // PGSC0003DMG400000735 // Novel01794 // PGSC0003DMG400008796 // PGSC0003DMG400009414 
GO:0016705,F,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",5,60,198,37767,1.80E-05,0.00037,// PGSC0003DMG400000425 // PGSC0003DMG400020809 // PGSC0003DMG400009810 // PGSC0003DMG400026871 // PGSC0003DMG400033634 
GO:0005488,F,binding,30,60,11258,37767,0.00082,0.013,// PGSC0003DMG400005538 // PGSC0003DMG400028173 // PGSC0003DMG400014248 // Novel01306 // PGSC0003DMG400002612 // PGSC0003DMG400029201 // PGSC0003DMG400020206 // PGSC0003DMG400029517 // PGSC0003DMG400020809 // PGSC0003DMG400024157 // PGSC0003DMG400011953 // PGSC0003DMG400009810 // PGSC0003DMG400002045 // PGSC0003DMG400002487 // Novel00135 // PGSC0003DMG400020999 // PGSC0003DMG400026871 // PGSC0003DMG400015342 // PGSC0003DMG400002473 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400011949 // PGSC0003DMG400027636 // PGSC0003DMG400030880 // PGSC0003DMG400011792 // PGSC0003DMG400000425 // PGSC0003DMG400000735 // PGSC0003DMG400010067 // PGSC0003DMG400008796 // PGSC0003DMG400008677 
GO:0043169,F,cation binding,10,60,2087,37767,0.0016,0.022,// PGSC0003DMG400020809 // PGSC0003DMG400020999 // Novel01306 // PGSC0003DMG400011792 // PGSC0003DMG400002612 // PGSC0003DMG400029201 // PGSC0003DMG400000425 // PGSC0003DMG400009810 // PGSC0003DMG400026871 // PGSC0003DMG400029517 
GO:0046872,F,metal ion binding,9,60,1997,37767,0.0042,0.048,// PGSC0003DMG400020809 // PGSC0003DMG400020999 // PGSC0003DMG400026871 // PGSC0003DMG400011792 // PGSC0003DMG400002612 // PGSC0003DMG400029201 // PGSC0003DMG400009810 // PGSC0003DMG400000425 // PGSC0003DMG400029517 
GO:0001882,F,nucleoside binding,6,60,1465,37767,0.029,0.29,// PGSC0003DMG400000735 // PGSC0003DMG400014248 // PGSC0003DMG400011792 // PGSC0003DMG400030880 // PGSC0003DMG400016365 // PGSC0003DMG400002045 
GO:0005515,F,protein binding,9,60,2944,37767,0.042,0.38,// PGSC0003DMG400027636 // PGSC0003DMG400005538 // PGSC0003DMG400020999 // PGSC0003DMG400014248 // PGSC0003DMG400028173 // PGSC0003DMG400000735 // PGSC0003DMG400020206 // PGSC0003DMG400024157 // PGSC0003DMG400016365 
GO:0001883,F,purine nucleoside binding,5,60,1465,37767,0.083,0.48,// PGSC0003DMG400014248 // PGSC0003DMG400000735 // PGSC0003DMG400002045 // PGSC0003DMG400011792 // PGSC0003DMG400016365 
GO:0005524,F,ATP binding,5,60,1377,37767,0.068,0.48,// PGSC0003DMG400014248 // PGSC0003DMG400000735 // PGSC0003DMG400002045 // PGSC0003DMG400011792 // PGSC0003DMG400016365 
GO:0016740,F,transferase activity,9,60,3321,37767,0.078,0.48,// PGSC0003DMG400010819 // PGSC0003DMG400000735 // Novel01306 // PGSC0003DMG400007800 // PGSC0003DMG400011792 // PGSC0003DMG400030880 // PGSC0003DMG400010638 // PGSC0003DMG400016365 // PGSC0003DMG400002045 
GO:0032559,F,adenyl ribonucleotide binding,5,60,1384,37767,0.069,0.48,// PGSC0003DMG400014248 // PGSC0003DMG400000735 // PGSC0003DMG400002045 // PGSC0003DMG400011792 // PGSC0003DMG400016365 
GO:0030554,F,adenyl nucleotide binding,5,60,1465,37767,0.083,0.48,// PGSC0003DMG400014248 // PGSC0003DMG400000735 // PGSC0003DMG400002045 // PGSC0003DMG400011792 // PGSC0003DMG400016365 
GO:0032555,F,purine ribonucleotide binding,5,60,1631,37767,0.12,0.6,// PGSC0003DMG400014248 // PGSC0003DMG400000735 // PGSC0003DMG400002045 // PGSC0003DMG400011792 // PGSC0003DMG400016365 
GO:0032553,F,ribonucleotide binding,5,60,1631,37767,0.12,0.6,// PGSC0003DMG400014248 // PGSC0003DMG400000735 // PGSC0003DMG400002045 // PGSC0003DMG400011792 // PGSC0003DMG400016365 
GO:0017076,F,purine nucleotide binding,5,60,1713,37767,0.14,0.65,// PGSC0003DMG400014248 // PGSC0003DMG400000735 // PGSC0003DMG400002045 // PGSC0003DMG400011792 // PGSC0003DMG400016365 
GO:0000166,F,nucleotide binding,6,60,2267,37767,0.15,0.68,// PGSC0003DMG400014248 // PGSC0003DMG400011792 // PGSC0003DMG400002612 // PGSC0003DMG400000735 // PGSC0003DMG400016365 // PGSC0003DMG400002045 
GO:0003677,F,DNA binding,7,60,2892,37767,0.17,0.73,// PGSC0003DMG400015342 // PGSC0003DMG400024157 // PGSC0003DMG400030880 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0016772,F,"transferase activity, transferring phosphorus-containing groups",5,60,1887,37767,0.18,0.73,// PGSC0003DMG400016365 // PGSC0003DMG400000735 // PGSC0003DMG400002045 // PGSC0003DMG400011792 // PGSC0003DMG400030880 
GO:0003676,F,nucleic acid binding,7,60,4842,37767,0.66,1,// PGSC0003DMG400015342 // PGSC0003DMG400024157 // PGSC0003DMG400030880 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0016787,F,hydrolase activity,6,60,3468,37767,0.48,1,// PGSC0003DMG400029830 // PGSC0003DMG402009879 // PGSC0003DMG400001528 // Novel01794 // PGSC0003DMG400008796 // PGSC0003DMG400009414 
GO:0016021,C,integral to membrane,16,60,395,37767,2.70E-18,1.10E-16,// PGSC0003DMG400010819 // PGSC0003DMG400016535 // PGSC0003DMG400005538 // PGSC0003DMG400011771 // PGSC0003DMG400000803 // PGSC0003DMG400011792 // PGSC0003DMG400033634 // PGSC0003DMG400004961 // PGSC0003DMG400020605 // PGSC0003DMG400005269 // PGSC0003DMG400013297 // PGSC0003DMG400016365 // PGSC0003DMG400011406 // PGSC0003DMG400000425 // PGSC0003DMG400023700 // PGSC0003DMG402003297 
GO:0031224,C,intrinsic to membrane,16,60,806,37767,1.30E-13,2.70E-12,// PGSC0003DMG400010819 // PGSC0003DMG400016535 // PGSC0003DMG400005538 // PGSC0003DMG400011771 // PGSC0003DMG400000803 // PGSC0003DMG400011792 // PGSC0003DMG400033634 // PGSC0003DMG400004961 // PGSC0003DMG400020605 // PGSC0003DMG400005269 // PGSC0003DMG400013297 // PGSC0003DMG400016365 // PGSC0003DMG400011406 // PGSC0003DMG400000425 // PGSC0003DMG400023700 // PGSC0003DMG402003297 
GO:0044425,C,membrane part,16,60,1360,37767,2.80E-10,3.90E-09,// PGSC0003DMG400010819 // PGSC0003DMG400016535 // PGSC0003DMG400005538 // PGSC0003DMG400011771 // PGSC0003DMG400000803 // PGSC0003DMG400011792 // PGSC0003DMG400033634 // PGSC0003DMG400004961 // PGSC0003DMG400020605 // PGSC0003DMG400005269 // PGSC0003DMG400013297 // PGSC0003DMG400016365 // PGSC0003DMG400011406 // PGSC0003DMG400000425 // PGSC0003DMG400023700 // PGSC0003DMG402003297 
GO:0016020,C,membrane,16,60,4068,37767,0.00047,0.0049,// PGSC0003DMG400010819 // PGSC0003DMG400016535 // PGSC0003DMG400005538 // PGSC0003DMG400011771 // PGSC0003DMG400000803 // PGSC0003DMG400011792 // PGSC0003DMG400033634 // PGSC0003DMG400004961 // PGSC0003DMG400020605 // PGSC0003DMG400005269 // PGSC0003DMG400013297 // PGSC0003DMG400016365 // PGSC0003DMG400011406 // PGSC0003DMG400000425 // PGSC0003DMG400023700 // PGSC0003DMG402003297 
GO:0043231,C,intracellular membrane-bounded organelle,8,60,7615,37767,0.94,1,// PGSC0003DMG400016535 // PGSC0003DMG400000735 // PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0044424,C,intracellular part,9,60,9302,37767,0.98,1,// PGSC0003DMG400016535 // PGSC0003DMG400020999 // PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400000735 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0043229,C,intracellular organelle,8,60,8149,37767,0.96,1,// PGSC0003DMG400016535 // PGSC0003DMG400000735 // PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
