Cluster-12724.0,GO:0006730
Cluster-67248.147119,GO:0006260
Cluster-67248.147120,GO:0006260
Cluster-67248.14743,GO:0006355
Cluster-67248.147797,GO:0042254
Cluster-67248.147808,GO:0016579
Cluster-67248.148419,GO:0006465
Cluster-67248.148557,GO:0007268
Cluster-67248.148926,GO:0000398
Cluster-67248.149131,GO:0008152
Cluster-67248.149503,GO:0006810
Cluster-67248.149621,GO:0019497
Cluster-67248.149667,GO:0015031
Cluster-67248.150048,GO:0055114
Cluster-67248.150475,GO:0006118
Cluster-67248.150525,GO:0006508
Cluster-67248.151551,GO:0006950
Cluster-67248.1520,GO:0006355
Cluster-67248.152260,GO:0006810
Cluster-67248.152284,GO:0006811
Cluster-67248.152668,GO:0005982
Cluster-67248.152682,GO:0006355
Cluster-67248.154099,GO:0055114
Cluster-67248.154177,GO:0030261
Cluster-67248.154178,GO:0030261
Cluster-67248.154811,GO:0016042
Cluster-67248.155644,GO:0006486
Cluster-67248.155958,GO:0008152
Cluster-67248.156281,GO:0007017
Cluster-67248.15643,GO:0008152
Cluster-67248.157010,GO:0016310
Cluster-67248.157273,GO:0006694
Cluster-67248.158081,GO:0006508
Cluster-67248.158143,GO:0002949
Cluster-67248.158164,GO:0016310
Cluster-67248.158168,GO:0007165
Cluster-67248.158390,GO:0006810
Cluster-67248.15910,GO:0006004
Cluster-67248.15938,GO:0055114
Cluster-67248.161649,GO:0019497
Cluster-67248.161898,GO:0006471
Cluster-67248.162870,GO:0007165
Cluster-67248.163216,GO:0015031
Cluster-67248.163265,GO:0006355
Cluster-67248.164029,GO:0016567
Cluster-67248.165565,GO:0000184
Cluster-67248.165899,GO:0006370
Cluster-67248.166864,GO:0009058
Cluster-67248.167058,GO:0006355
Cluster-67248.168288,GO:0055114
Cluster-67248.168613,GO:0008152
Cluster-67248.16964,GO:0006508
Cluster-67248.171401,GO:0006313
Cluster-67248.172254,GO:0006544
Cluster-67248.172380,GO:0006468
Cluster-67248.17246,GO:0006457
Cluster-67248.173471,GO:0055114
Cluster-67248.174164,GO:0006771
Cluster-67248.18493,GO:0006364
Cluster-67248.18739,GO:0006952
Cluster-67248.19877,GO:0030036
Cluster-67248.21106,GO:0055085
Cluster-67248.21632,GO:0006694
Cluster-67248.21861,GO:0055114
Cluster-67248.22994,GO:0005985
Cluster-67248.23768,GO:0000910
Cluster-67248.24071,GO:0007165
Cluster-67248.25091,GO:0008152
Cluster-67248.25232,GO:0051249
Cluster-67248.25931,GO:0006915
Cluster-67248.2681,GO:0006448
Cluster-67248.2785,GO:0042254
Cluster-67248.27951,GO:0016042
Cluster-67248.28001,GO:0007155
Cluster-67248.29944,GO:0007010
Cluster-67248.30566,GO:0006810
Cluster-67248.30597,GO:0006468
Cluster-67248.3081,GO:0006886
Cluster-67248.31901,GO:0000746
Cluster-67248.32882,GO:0006206
Cluster-67248.33867,GO:0006468
Cluster-67248.34781,GO:0007275
Cluster-67248.36113,GO:0048193
Cluster-67248.37129,GO:0055114
Cluster-67248.37679,GO:0016117
Cluster-67248.38155,GO:0006511
Cluster-67248.38271,GO:0015992
Cluster-67248.38272,GO:0031110
Cluster-67248.38464,GO:0030420
Cluster-67248.39226,GO:0016055
Cluster-67248.39287,GO:0006813
Cluster-67248.40586,GO:0006468
Cluster-67248.41201,GO:0042967
Cluster-67248.4121,GO:0006556
Cluster-67248.41239,GO:0006804
Cluster-67248.41724,GO:0000160
Cluster-67248.41890,GO:0055114
Cluster-67248.4208,GO:0006412
Cluster-67248.42533,GO:0006810
Cluster-67248.42949,GO:0055114
Cluster-67248.43252,GO:0006810
Cluster-67248.43841,GO:0055085
Cluster-67248.44435,GO:0055114
Cluster-67248.44437,GO:0055114
Cluster-67248.44691,GO:0008152
Cluster-67248.44994,GO:0016567
Cluster-67248.45605,GO:0015893
Cluster-67248.45606,GO:0006855
Cluster-67248.46132,GO:0018298
Cluster-67248.46288,GO:0007165
Cluster-67248.47102,GO:0055114
Cluster-67248.4724,GO:0006814
Cluster-67248.47429,GO:0006694
Cluster-67248.47677,GO:0006313
Cluster-67248.47681,GO:0009117
Cluster-67248.49199,GO:0055114
Cluster-67248.50398,GO:0055114
Cluster-67248.50623,GO:0006118
Cluster-67248.50635,GO:0055085
Cluster-67248.51096,GO:0006810
Cluster-67248.52306,GO:0007275
Cluster-67248.52455,GO:0006914
Cluster-67248.52468,GO:0006810
Cluster-67248.52722,GO:0007131
Cluster-67248.52724,GO:0007131
Cluster-67248.53188,GO:0006566
Cluster-67248.53203,GO:0009058
Cluster-67248.53353,GO:0009306
Cluster-67248.53436,GO:0008219
Cluster-67248.54002,GO:0006334
Cluster-67248.54100,GO:0055114
Cluster-67248.54663,GO:0016567
Cluster-67248.55188,GO:0045444
Cluster-67248.55245,GO:0009069
Cluster-67248.55307,GO:0055114
Cluster-67248.55310,GO:0009405
Cluster-67248.55330,GO:0048193
Cluster-67248.55407,GO:0006886
Cluster-67248.55752,GO:0055114
Cluster-67248.55801,GO:0019076
Cluster-67248.55836,GO:0006888
Cluster-67248.55950,GO:0005975
Cluster-67248.56048,GO:0006479
Cluster-67248.56391,GO:0046034
Cluster-67248.56524,GO:0006605
Cluster-67248.56573,GO:0006812
Cluster-67248.56857,GO:0008608
Cluster-67248.56860,GO:0006606
Cluster-67248.56998,GO:0006260
Cluster-67248.57183,GO:0045893
Cluster-67248.57750,GO:0055114
Cluster-67248.57902,GO:0006357
Cluster-67248.57925,GO:0008152
Cluster-67248.58313,GO:0006011
Cluster-67248.58782,GO:0009405
Cluster-67248.58784,GO:0006952
Cluster-67248.59186,GO:0006468
Cluster-67248.59257,GO:0006886
Cluster-67248.59311,GO:0015684
Cluster-67248.59433,GO:0009271
Cluster-67248.59436,GO:0015992
Cluster-67248.59456,GO:0006313
Cluster-67248.59697,GO:0006355
Cluster-67248.60251,GO:0006468
Cluster-67248.60257,GO:0006468
Cluster-67248.60330,GO:0006418
Cluster-67248.60543,GO:0051726
Cluster-67248.61226,GO:0006355
Cluster-67248.61679,GO:0006508
Cluster-67248.61895,GO:0007165
Cluster-67248.62054,GO:0055085
Cluster-67248.62076,GO:0006468
Cluster-67248.62306,GO:0006886
Cluster-67248.62498,GO:0015992
Cluster-67248.6264,GO:0030435
Cluster-67248.63030,GO:0055085
Cluster-67248.63032,GO:0035556
Cluster-67248.63364,GO:0007165
Cluster-67248.63967,GO:0003333
Cluster-67248.64066,GO:0006367
Cluster-67248.64505,GO:0006352
Cluster-67248.64713,GO:0005975
Cluster-67248.64954,GO:0009435
Cluster-67248.64955,GO:0009435
Cluster-67248.65001,GO:0045893
Cluster-67248.65394,GO:0006355
Cluster-67248.65674,GO:0055085
Cluster-67248.65881,GO:0055085
Cluster-67248.65887,GO:0006811
Cluster-67248.66039,GO:0006098
Cluster-67248.66368,GO:0006555
Cluster-67248.66995,GO:0055114
Cluster-67248.67315,GO:0007010
Cluster-67248.67334,GO:0008152
Cluster-67248.67344,GO:0006468
Cluster-67248.67347,GO:0006468
Cluster-67248.67642,GO:0007218
Cluster-67248.67986,GO:0005975
Cluster-67248.68063,GO:0006073
Cluster-67248.68071,GO:0005975
Cluster-67248.68108,GO:0009405
Cluster-67248.68110,GO:0006810
Cluster-67248.68771,GO:0006260
Cluster-67248.69215,GO:0006468
Cluster-67248.69656,GO:0006468
Cluster-67248.69728,GO:0006468
Cluster-67248.69836,GO:0006457
Cluster-67248.69949,GO:0046034
Cluster-67248.70115,GO:0045893
Cluster-67248.70181,GO:0055085
Cluster-67248.70526,GO:0008152
Cluster-67248.71505,GO:0071805
Cluster-67248.71743,GO:0043039
Cluster-67248.73459,GO:0019079
Cluster-67248.73673,GO:0008152
Cluster-67248.74121,GO:0006118
Cluster-67248.74132,GO:0006367
Cluster-67248.74239,GO:0006508
Cluster-67248.74241,GO:0006508
Cluster-67248.74317,GO:0006468
Cluster-67248.74320,GO:0006468
Cluster-67248.74369,GO:0015893
Cluster-67248.74599,GO:0006468
Cluster-67248.74601,GO:0006468
Cluster-67248.74711,GO:0006468
Cluster-67248.74718,GO:0006310
Cluster-67248.74768,GO:0008152
Cluster-67248.74770,GO:0008152
Cluster-67248.75006,GO:0008152
Cluster-67248.75055,GO:0009252
Cluster-67248.75172,GO:0055114
Cluster-67248.75185,GO:0035556
Cluster-67248.75354,GO:0055114
Cluster-67248.75437,GO:0006486
Cluster-67248.75640,GO:0008152
Cluster-67248.75954,GO:0055114
Cluster-67248.76022,GO:0006855
Cluster-67248.76238,GO:0006629
Cluster-67248.76378,GO:0046488
Cluster-67248.76463,GO:0008608
Cluster-67248.76489,GO:0015992
Cluster-67248.76700,GO:0055114
Cluster-67248.76847,GO:0055114
Cluster-67248.76854,GO:0051252
Cluster-67248.76925,GO:0055114
Cluster-67248.77074,GO:0009607
Cluster-67248.77198,GO:0006355
Cluster-67248.77250,GO:0071805
Cluster-67248.77251,GO:0071805
Cluster-67248.77810,GO:0006952
Cluster-67248.77988,GO:0005975
Cluster-67248.78087,GO:0005992
Cluster-67248.78769,GO:0006098
Cluster-67248.78919,GO:0009405
Cluster-67248.78974,GO:0005975
Cluster-67248.78983,GO:0032012
Cluster-67248.79238,GO:0006355
Cluster-67248.79498,GO:0018298
Cluster-67248.79535,GO:0006000
Cluster-67248.79805,GO:0034968
Cluster-67248.79820,GO:0019521
Cluster-67248.79924,GO:0055114
Cluster-67248.79928,GO:0019079
Cluster-67248.80043,GO:0006144
Cluster-67248.80120,GO:0007165
Cluster-67248.80212,GO:0000160
Cluster-67248.80228,GO:0007165
Cluster-67248.80259,GO:0015696
Cluster-67248.80260,GO:0006813
Cluster-67248.80602,GO:0071229
Cluster-67248.80850,GO:0048268
Cluster-67248.80958,GO:0006888
Cluster-67248.80974,GO:0042274
Cluster-67248.81345,GO:0006508
Cluster-67248.81460,GO:0055114
Cluster-67248.81492,GO:0006568
Cluster-67248.81565,GO:0015969
Cluster-67248.81644,GO:0030244
Cluster-67248.81781,GO:0019069
Cluster-67248.81853,GO:0006888
Cluster-67248.81915,GO:0006096
Cluster-67248.81986,GO:0055114
Cluster-67248.82138,GO:0016192
Cluster-67248.82229,GO:0006355
Cluster-67248.82464,GO:0016114
Cluster-67248.82520,GO:0015031
Cluster-67248.82530,GO:0006412
Cluster-67248.82557,GO:0006468
Cluster-67248.82896,GO:0006468
Cluster-67248.82934,GO:0007165
Cluster-67248.83303,GO:0030150
Cluster-67248.83385,GO:0007165
Cluster-67248.83386,GO:0006468
Cluster-67248.83389,GO:0006468
Cluster-67248.83468,GO:0008209
Cluster-67248.83627,GO:0008152
Cluster-67248.83874,GO:0008152
Cluster-67248.83888,GO:0006950
Cluster-67248.83907,GO:0055114
Cluster-67248.83967,GO:0006508
Cluster-67248.83971,GO:0006508
Cluster-67248.83974,GO:0006508
Cluster-67248.84071,GO:0006508
Cluster-67248.84229,GO:0000045
Cluster-67248.84245,GO:0008152
Cluster-67248.84302,GO:0055114
Cluster-67248.84569,GO:0042176
Cluster-67248.84604,GO:0006886
Cluster-67248.84761,GO:0009058
Cluster-67248.84836,GO:0016114
Cluster-67248.85053,GO:0055114
Cluster-67248.85081,GO:0007165
Cluster-67248.85099,GO:0071973
Cluster-67248.85247,GO:0009405
Cluster-67248.85568,GO:0006355
Cluster-67248.85579,GO:0008152
Cluster-67248.85825,GO:0008152
Cluster-67248.86068,GO:0006094
Cluster-67248.86551,GO:0006355
Cluster-67248.86752,GO:0006821
Cluster-67248.86826,GO:0006468
Cluster-67248.86827,GO:0006468
Cluster-67248.86828,GO:0006468
Cluster-67248.86831,GO:0009966
Cluster-67248.86849,GO:0042157
Cluster-67248.86850,GO:0071704
Cluster-67248.86976,GO:0055114
Cluster-67248.87057,GO:0055114
Cluster-67248.87066,GO:0006571
Cluster-67248.87072,GO:0042254
Cluster-67248.87086,GO:0006508
Cluster-67248.87294,GO:0055114
Cluster-67248.87315,GO:0005975
Cluster-67248.87401,GO:0055114
Cluster-67248.87634,GO:0006468
Cluster-67248.87649,GO:0006468
Cluster-67248.87650,GO:0006468
Cluster-67248.87670,GO:0018298
Cluster-67248.87698,GO:0008210
Cluster-67248.87839,GO:0043248
Cluster-67248.87881,GO:0042254
Cluster-67248.87944,GO:0006629
Cluster-67248.88066,GO:0006323
Cluster-67248.88075,GO:0006811
Cluster-67248.88088,GO:0055114
Cluster-67248.88133,GO:0009069
Cluster-67248.88233,GO:0042128
