GO_acc,term_type,Term,queryitem,querytotal,bgitem,bgtotal,pvalue,FDR,entries
GO:0051234,P,establishment of localization,11,71,1851,37767,0.00067,0.006,// Cluster-67248.21632 // Cluster-67248.74369 // Cluster-67248.115833 // Cluster-67248.84604 // Cluster-67248.41201 // Cluster-67248.68110 // Cluster-67248.99608 // Cluster-67248.114284 // Cluster-67248.149503 // Cluster-67248.107469 // Cluster-67248.56573 
GO:0051179,P,localization,11,71,1922,37767,0.00091,0.0078,// Cluster-67248.21632 // Cluster-67248.74369 // Cluster-67248.115833 // Cluster-67248.84604 // Cluster-67248.41201 // Cluster-67248.68110 // Cluster-67248.99608 // Cluster-67248.114284 // Cluster-67248.149503 // Cluster-67248.107469 // Cluster-67248.56573 
GO:0019752,P,carboxylic acid metabolic process,7,71,859,37767,0.0012,0.0086,// Cluster-67248.86976 // Cluster-67248.116648 // Cluster-67248.100189 // Cluster-67248.41890 // Cluster-67248.75172 // Cluster-67248.99225 // Cluster-67248.101001 
GO:0043436,P,oxoacid metabolic process,7,71,859,37767,0.0012,0.0086,// Cluster-67248.86976 // Cluster-67248.116648 // Cluster-67248.100189 // Cluster-67248.41890 // Cluster-67248.75172 // Cluster-67248.99225 // Cluster-67248.101001 
GO:0044255,P,cellular lipid metabolic process,6,71,618,37767,0.0011,0.0086,// Cluster-67248.92938 // Cluster-67248.41201 // Cluster-67248.102077 // Cluster-67248.41890 // Cluster-67248.75172 // Cluster-67248.99225 
GO:0006082,P,organic acid metabolic process,7,71,860,37767,0.0012,0.0086,// Cluster-67248.86976 // Cluster-67248.116648 // Cluster-67248.100189 // Cluster-67248.41890 // Cluster-67248.75172 // Cluster-67248.99225 // Cluster-67248.101001 
GO:0006520,P,cellular amino acid metabolic process,5,71,430,37767,0.0014,0.0094,// Cluster-67248.116648 // Cluster-67248.100189 // Cluster-67248.101001 // Cluster-67248.86976 // Cluster-67248.41890 
GO:0044106,P,cellular amine metabolic process,5,71,438,37767,0.0015,0.0098,// Cluster-67248.116648 // Cluster-67248.100189 // Cluster-67248.101001 // Cluster-67248.86976 // Cluster-67248.41890 
GO:0006139,P,"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process",14,71,3198,37767,0.0023,0.015,// Cluster-67248.80974 // Cluster-67248.96255 // Cluster-67248.101576 // Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.21632 // Cluster-67248.102459 // Cluster-67248.76854 // Cluster-67248.96569 // Cluster-67248.100189 // Cluster-67248.149503 // Cluster-67248.98484 // Cluster-67248.99225 // Cluster-67248.65001 
GO:0016070,P,RNA metabolic process,9,71,1657,37767,0.0039,0.024,// Cluster-67248.21632 // Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.100189 // Cluster-67248.96569 // Cluster-67248.76854 // Cluster-67248.98484 // Cluster-67248.99225 // Cluster-67248.65001 
GO:0006519,P,cellular amino acid and derivative metabolic process,5,71,682,37767,0.0095,0.056,// Cluster-67248.116648 // Cluster-67248.100189 // Cluster-67248.101001 // Cluster-67248.86976 // Cluster-67248.41890 
GO:0043170,P,macromolecule metabolic process,20,71,7127,37767,0.037,0.21,// Cluster-67248.151551 // Cluster-67248.21632 // Cluster-67248.96255 // Cluster-67248.110524 // Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.100189 // Cluster-67248.68063 // Cluster-67248.82530 // Cluster-67248.41201 // Cluster-67248.82896 // Cluster-67248.110527 // Cluster-67248.96569 // Cluster-67248.131901 // Cluster-67248.76854 // Cluster-67248.149503 // Cluster-67248.107469 // Cluster-67248.98484 // Cluster-67248.99225 // Cluster-67248.65001 
GO:0009058,P,biosynthetic process,15,71,5118,37767,0.052,0.29,// Cluster-67248.21632 // Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.116648 // Cluster-67248.100189 // Cluster-67248.82530 // Cluster-67248.41201 // Cluster-67248.88518 // Cluster-67248.149503 // Cluster-67248.102077 // Cluster-67248.41890 // Cluster-67248.94495 // Cluster-67248.75172 // Cluster-67248.99225 // Cluster-67248.65001 
GO:0044260,P,cellular macromolecule metabolic process,17,71,6447,37767,0.088,0.47,// Cluster-67248.151551 // Cluster-67248.21632 // Cluster-67248.110524 // Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.100189 // Cluster-67248.68063 // Cluster-67248.82896 // Cluster-67248.110527 // Cluster-67248.96569 // Cluster-67248.131901 // Cluster-67248.76854 // Cluster-67248.149503 // Cluster-67248.82530 // Cluster-67248.98484 // Cluster-67248.99225 // Cluster-67248.65001 
GO:0065007,P,biological regulation,12,71,4188,37767,0.091,0.47,// Cluster-67248.85825 // Cluster-67248.65001 // Cluster-67248.21632 // Cluster-67248.100189 // Cluster-67248.91693 // Cluster-67248.132953 // Cluster-67248.89076 // Cluster-67248.149503 // Cluster-67248.76854 // Cluster-67248.94495 // Cluster-67248.107469 // Cluster-67248.63364 
GO:0009056,P,catabolic process,5,71,1307,37767,0.1,0.5,// Cluster-67248.21632 // Cluster-67248.76854 // Cluster-67248.145082 // Cluster-67248.132953 // Cluster-67248.86976 
GO:0044249,P,cellular biosynthetic process,10,71,4925,37767,0.45,1,// Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.100189 // Cluster-67248.82530 // Cluster-67248.149503 // Cluster-67248.102077 // Cluster-67248.41890 // Cluster-67248.75172 // Cluster-67248.99225 // Cluster-67248.65001 
GO:0050789,P,regulation of biological process,8,71,3697,37767,0.39,1,// Cluster-67248.85825 // Cluster-67248.65001 // Cluster-67248.100189 // Cluster-67248.91693 // Cluster-67248.132953 // Cluster-67248.89076 // Cluster-67248.76854 // Cluster-67248.63364 
GO:0044267,P,cellular protein metabolic process,7,71,3487,37767,0.49,1,// Cluster-67248.151551 // Cluster-67248.110527 // Cluster-67248.110524 // Cluster-67248.82896 // Cluster-67248.149503 // Cluster-67248.131901 // Cluster-67248.82530 
GO:0010467,P,gene expression,9,71,3962,37767,0.33,1,// Cluster-67248.21632 // Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.100189 // Cluster-67248.96569 // Cluster-67248.82530 // Cluster-67248.98484 // Cluster-67248.99225 // Cluster-67248.65001 
GO:0050794,P,regulation of cellular process,8,71,3375,37767,0.3,1,// Cluster-67248.85825 // Cluster-67248.65001 // Cluster-67248.100189 // Cluster-67248.91693 // Cluster-67248.132953 // Cluster-67248.89076 // Cluster-67248.76854 // Cluster-67248.63364 
GO:0019538,P,protein metabolic process,9,71,4009,37767,0.34,1,// Cluster-67248.151551 // Cluster-67248.110527 // Cluster-67248.96255 // Cluster-67248.110524 // Cluster-67248.82896 // Cluster-67248.149503 // Cluster-67248.131901 // Cluster-67248.107469 // Cluster-67248.82530 
GO:0003824,F,catalytic activity,41,71,9638,37767,9.10E-09,7.80E-07,// Cluster-67248.84604 // Cluster-67248.97235 // Cluster-67248.21632 // Cluster-67248.116648 // Cluster-67248.77514 // Cluster-67248.75640 // Cluster-67248.132953 // Cluster-67248.88518 // Cluster-67248.80974 // Cluster-67248.100189 // Cluster-67248.157045 // Cluster-67248.96569 // Cluster-67248.102459 // Cluster-67248.41890 // Cluster-67248.107469 // Cluster-67248.98484 // Cluster-67248.85825 // Cluster-67248.96255 // Cluster-67248.149503 // Cluster-67248.86976 // Cluster-67248.87571 // Cluster-67248.102286 // Cluster-67248.41201 // Cluster-67248.91693 // Cluster-67248.84245 // Cluster-67248.107920 // Cluster-67248.75172 // Cluster-67248.101576 // Cluster-67248.68110 // Cluster-67248.101001 // Cluster-67248.110527 // Cluster-67248.110524 // Cluster-67248.68063 // Cluster-67248.82896 // Cluster-67248.89076 // Cluster-67248.102077 // Cluster-67248.76854 // Cluster-67248.94495 // Cluster-67248.82532 // Cluster-67248.99225 // Cluster-67248.82530 
GO:0005488,F,binding,43,71,11258,37767,8.00E-08,3.40E-06,// Cluster-67248.149503 // Cluster-67248.116648 // Cluster-67248.102459 // Cluster-67248.112206 // Cluster-67248.84604 // Cluster-67248.132953 // Cluster-67248.131901 // Cluster-67248.94495 // Cluster-67248.151551 // Cluster-67248.100189 // Cluster-67248.157045 // Cluster-67248.96569 // Cluster-67248.115845 // Cluster-67248.41890 // Cluster-67248.89650 // Cluster-67248.145082 // Cluster-67248.56573 // Cluster-67248.142094 // Cluster-67248.21632 // Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.102286 // Cluster-67248.112123 // Cluster-67248.63364 // Cluster-67248.100665 // Cluster-67248.6264 // Cluster-67248.107920 // Cluster-67248.74121 // Cluster-67248.75172 // Cluster-67248.68110 // Cluster-67248.50623 // Cluster-67248.110527 // Cluster-67248.110524 // Cluster-67248.65001 // Cluster-67248.98484 // Cluster-67248.82896 // Cluster-67248.89728 // Cluster-67248.102077 // Cluster-67248.76854 // Cluster-67248.101001 // Cluster-67248.96096 // Cluster-67248.163091 // Cluster-67248.99225 
GO:0016491,F,oxidoreductase activity,14,71,1463,37767,5.40E-07,1.50E-05,// Cluster-67248.85825 // Cluster-67248.86976 // Cluster-67248.21632 // Cluster-67248.100189 // Cluster-67248.84604 // Cluster-67248.91693 // Cluster-67248.89076 // Cluster-67248.96569 // Cluster-67248.102286 // Cluster-67248.41890 // Cluster-67248.94495 // Cluster-67248.75172 // Cluster-67248.99225 // Cluster-67248.101001 
GO:0001883,F,purine nucleoside binding,12,71,1465,37767,1.80E-05,0.00022,// Cluster-67248.151551 // Cluster-67248.21632 // Cluster-67248.110524 // Cluster-67248.86976 // Cluster-67248.102459 // Cluster-67248.112123 // Cluster-67248.82896 // Cluster-67248.149503 // Cluster-67248.110527 // Cluster-67248.98484 // Cluster-67248.68110 // Cluster-67248.99225 
GO:0001882,F,nucleoside binding,12,71,1465,37767,1.80E-05,0.00022,// Cluster-67248.151551 // Cluster-67248.21632 // Cluster-67248.110524 // Cluster-67248.86976 // Cluster-67248.102459 // Cluster-67248.112123 // Cluster-67248.82896 // Cluster-67248.149503 // Cluster-67248.110527 // Cluster-67248.98484 // Cluster-67248.68110 // Cluster-67248.99225 
GO:0005506,F,iron ion binding,5,71,161,37767,1.60E-05,0.00022,// Cluster-67248.74121 // Cluster-67248.100189 // Cluster-67248.75172 // Cluster-67248.99225 // Cluster-67248.101001 
GO:0030554,F,adenyl nucleotide binding,12,71,1465,37767,1.80E-05,0.00022,// Cluster-67248.151551 // Cluster-67248.21632 // Cluster-67248.110524 // Cluster-67248.86976 // Cluster-67248.102459 // Cluster-67248.112123 // Cluster-67248.82896 // Cluster-67248.149503 // Cluster-67248.110527 // Cluster-67248.98484 // Cluster-67248.68110 // Cluster-67248.99225 
GO:0005515,F,protein binding,17,71,2944,37767,2.60E-05,0.00027,// Cluster-67248.151551 // Cluster-67248.96096 // Cluster-67248.163091 // Cluster-67248.6264 // Cluster-67248.100665 // Cluster-67248.102459 // Cluster-67248.112206 // Cluster-67248.84604 // Cluster-67248.132953 // Cluster-67248.63364 // Cluster-67248.89728 // Cluster-67248.96569 // Cluster-67248.131901 // Cluster-67248.115845 // Cluster-67248.41890 // Cluster-67248.89650 // Cluster-67248.145082 
GO:0017076,F,purine nucleotide binding,12,71,1713,37767,8.20E-05,0.00078,// Cluster-67248.151551 // Cluster-67248.21632 // Cluster-67248.110524 // Cluster-67248.86976 // Cluster-67248.102459 // Cluster-67248.112123 // Cluster-67248.82896 // Cluster-67248.149503 // Cluster-67248.110527 // Cluster-67248.98484 // Cluster-67248.68110 // Cluster-67248.99225 
GO:0000166,F,nucleotide binding,13,71,2267,37767,0.00029,0.0023,// Cluster-67248.151551 // Cluster-67248.21632 // Cluster-67248.110524 // Cluster-67248.86976 // Cluster-67248.102459 // Cluster-67248.112123 // Cluster-67248.82896 // Cluster-67248.149503 // Cluster-67248.110527 // Cluster-67248.98484 // Cluster-67248.68110 // Cluster-67248.99225 // Cluster-67248.102077 
GO:0032559,F,adenyl ribonucleotide binding,10,71,1384,37767,0.00027,0.0023,// Cluster-67248.151551 // Cluster-67248.110527 // Cluster-67248.110524 // Cluster-67248.102459 // Cluster-67248.112123 // Cluster-67248.149503 // Cluster-67248.82896 // Cluster-67248.98484 // Cluster-67248.68110 // Cluster-67248.99225 
GO:0032553,F,ribonucleotide binding,10,71,1631,37767,0.00095,0.0063,// Cluster-67248.151551 // Cluster-67248.110527 // Cluster-67248.110524 // Cluster-67248.102459 // Cluster-67248.112123 // Cluster-67248.149503 // Cluster-67248.82896 // Cluster-67248.98484 // Cluster-67248.68110 // Cluster-67248.99225 
GO:0032555,F,purine ribonucleotide binding,10,71,1631,37767,0.00095,0.0063,// Cluster-67248.151551 // Cluster-67248.110527 // Cluster-67248.110524 // Cluster-67248.102459 // Cluster-67248.112123 // Cluster-67248.149503 // Cluster-67248.82896 // Cluster-67248.98484 // Cluster-67248.68110 // Cluster-67248.99225 
GO:0005524,F,ATP binding,9,71,1377,37767,0.0011,0.0069,// Cluster-67248.151551 // Cluster-67248.110527 // Cluster-67248.110524 // Cluster-67248.102459 // Cluster-67248.82896 // Cluster-67248.149503 // Cluster-67248.98484 // Cluster-67248.68110 // Cluster-67248.99225 
GO:0046872,F,metal ion binding,11,71,1997,37767,0.0012,0.0071,// Cluster-67248.65001 // Cluster-67248.100189 // Cluster-67248.76854 // Cluster-67248.132953 // Cluster-67248.157045 // Cluster-67248.102286 // Cluster-67248.107920 // Cluster-67248.74121 // Cluster-67248.75172 // Cluster-67248.99225 // Cluster-67248.101001 
GO:0043169,F,cation binding,11,71,2087,37767,0.0018,0.0089,// Cluster-67248.65001 // Cluster-67248.100189 // Cluster-67248.76854 // Cluster-67248.132953 // Cluster-67248.157045 // Cluster-67248.102286 // Cluster-67248.107920 // Cluster-67248.74121 // Cluster-67248.75172 // Cluster-67248.99225 // Cluster-67248.101001 
GO:0043167,F,ion binding,11,71,2087,37767,0.0018,0.0089,// Cluster-67248.65001 // Cluster-67248.100189 // Cluster-67248.76854 // Cluster-67248.132953 // Cluster-67248.157045 // Cluster-67248.102286 // Cluster-67248.107920 // Cluster-67248.74121 // Cluster-67248.75172 // Cluster-67248.99225 // Cluster-67248.101001 
GO:0046914,F,transition metal ion binding,9,71,1618,37767,0.0033,0.016,// Cluster-67248.65001 // Cluster-67248.100189 // Cluster-67248.132953 // Cluster-67248.157045 // Cluster-67248.102286 // Cluster-67248.74121 // Cluster-67248.75172 // Cluster-67248.99225 // Cluster-67248.101001 
GO:0016787,F,hydrolase activity,13,71,3468,37767,0.012,0.054,// Cluster-67248.21632 // Cluster-67248.96255 // Cluster-67248.68063 // Cluster-67248.132953 // Cluster-67248.41201 // Cluster-67248.157045 // Cluster-67248.149503 // Cluster-67248.82532 // Cluster-67248.76854 // Cluster-67248.107469 // Cluster-67248.101576 // Cluster-67248.68110 // Cluster-67248.82530 
GO:0016740,F,transferase activity,10,71,3321,37767,0.092,0.4,// Cluster-67248.110527 // Cluster-67248.80974 // Cluster-67248.96255 // Cluster-67248.110524 // Cluster-67248.102459 // Cluster-67248.68063 // Cluster-67248.41201 // Cluster-67248.82896 // Cluster-67248.84245 // Cluster-67248.88518 
GO:0016772,F,"transferase activity, transferring phosphorus-containing groups",6,71,1887,37767,0.14,0.59,// Cluster-67248.110527 // Cluster-67248.80974 // Cluster-67248.96255 // Cluster-67248.110524 // Cluster-67248.102459 // Cluster-67248.82896 
GO:0003676,F,nucleic acid binding,9,71,4842,37767,0.57,1,// Cluster-67248.142094 // Cluster-67248.21632 // Cluster-67248.65001 // Cluster-67248.92938 // Cluster-67248.132953 // Cluster-67248.157045 // Cluster-67248.149503 // Cluster-67248.76854 // Cluster-67248.56573 
GO:0003677,F,DNA binding,5,71,2892,37767,0.64,1,// Cluster-67248.142094 // Cluster-67248.21632 // Cluster-67248.149503 // Cluster-67248.56573 // Cluster-67248.65001 
GO:0016021,C,integral to membrane,7,71,395,37767,1.10E-05,0.00063,// Cluster-67248.115833 // Cluster-67248.99608 // Cluster-67248.114284 // Cluster-67248.96569 // Cluster-67248.107469 // Cluster-67248.82532 // Cluster-67248.82530 
GO:0016020,C,membrane,17,71,4068,37767,0.0012,0.018,// Cluster-67248.110527 // Cluster-67248.110524 // Cluster-67248.74369 // Cluster-67248.102459 // Cluster-67248.84604 // Cluster-67248.82532 // Cluster-67248.99608 // Cluster-67248.114284 // Cluster-67248.99228 // Cluster-67248.96569 // Cluster-67248.6264 // Cluster-67248.115833 // Cluster-67248.107469 // Cluster-67248.98484 // Cluster-67248.68110 // Cluster-67248.99225 // Cluster-67248.82530 
GO:0031224,C,intrinsic to membrane,7,71,806,37767,0.00083,0.018,// Cluster-67248.115833 // Cluster-67248.99608 // Cluster-67248.114284 // Cluster-67248.96569 // Cluster-67248.107469 // Cluster-67248.82532 // Cluster-67248.82530 
GO:0044425,C,membrane part,9,71,1360,37767,0.001,0.018,// Cluster-67248.115833 // Cluster-67248.84604 // Cluster-67248.99608 // Cluster-67248.114284 // Cluster-67248.96569 // Cluster-67248.6264 // Cluster-67248.107469 // Cluster-67248.82532 // Cluster-67248.82530 
GO:0043234,C,protein complex,7,71,1443,37767,0.019,0.22,// Cluster-67248.80974 // Cluster-67248.102459 // Cluster-67248.84604 // Cluster-9143.0 // Cluster-67248.114284 // Cluster-67248.96569 // Cluster-67248.6264 
GO:0032991,C,macromolecular complex,8,71,2180,37767,0.052,0.51,// Cluster-67248.80974 // Cluster-67248.102459 // Cluster-67248.84604 // Cluster-9143.0 // Cluster-67248.114284 // Cluster-67248.96569 // Cluster-67248.6264 // Cluster-67248.82530 
GO:0044424,C,intracellular part,15,71,9302,37767,0.79,1,// Cluster-67248.80974 // Cluster-67248.65001 // Cluster-67248.102459 // Cluster-67248.84604 // Cluster-9143.0 // Cluster-67248.114284 // Cluster-67248.96569 // Cluster-67248.145058 // Cluster-67248.6264 // Cluster-67248.76854 // Cluster-67248.149503 // Cluster-67248.82530 // Cluster-67248.98484 // Cluster-67248.99225 // Cluster-67248.102077 
GO:0043227,C,membrane-bounded organelle,8,71,7622,37767,0.98,1,// Cluster-67248.65001 // Cluster-67248.84604 // Cluster-67248.114284 // Cluster-67248.96569 // Cluster-67248.145058 // Cluster-67248.6264 // Cluster-67248.76854 // Cluster-67248.82530 
GO:0005737,C,cytoplasm,8,71,6822,37767,0.96,1,// Cluster-67248.84604 // Cluster-9143.0 // Cluster-67248.102077 // Cluster-67248.76854 // Cluster-67248.82530 // Cluster-67248.98484 // Cluster-67248.99225 // Cluster-67248.145058 
GO:0005623,C,cell,25,71,15217,37767,0.84,1,// Cluster-67248.74369 // Cluster-67248.102459 // Cluster-67248.84604 // Cluster-67248.145058 // Cluster-67248.80974 // Cluster-9143.0 // Cluster-67248.99608 // Cluster-67248.114284 // Cluster-67248.96569 // Cluster-67248.149503 // Cluster-67248.107469 // Cluster-67248.98484 // Cluster-67248.6264 // Cluster-67248.68110 // Cluster-67248.110527 // Cluster-67248.110524 // Cluster-67248.65001 // Cluster-67248.115833 // Cluster-67248.68063 // Cluster-67248.99228 // Cluster-67248.102077 // Cluster-67248.76854 // Cluster-67248.82532 // Cluster-67248.99225 // Cluster-67248.82530 
GO:0043226,C,organelle,10,71,8155,37767,0.96,1,// Cluster-67248.65001 // Cluster-67248.84604 // Cluster-9143.0 // Cluster-67248.114284 // Cluster-67248.149503 // Cluster-67248.145058 // Cluster-67248.6264 // Cluster-67248.76854 // Cluster-67248.96569 // Cluster-67248.82530 
GO:0044422,C,organelle part,7,71,2562,37767,0.21,1,// Cluster-67248.84604 // Cluster-9143.0 // Cluster-67248.114284 // Cluster-67248.149503 // Cluster-67248.6264 // Cluster-67248.96569 // Cluster-67248.82530 
