,Gene_ID,Comparison,Gene_name
108,Cluster-15354.13839,Cv653,XP_009118966.1
109,Cluster-15354.80645,Cv653,CDY24897.1
110,Cluster-15354.112965,Cv653,CDY44250.1
111,Cluster-15354.84368,Cv653,XM_009110036.1
112,Cluster-15354.115739,Cv653,XP_009110473.1
113,Cluster-15354.70257,Cv653,XP_009104761.1
114,Cluster-15354.38685,Cv653,CDY57461.1
115,Cluster-15354.143223,Cv653,XP_009128190.1
116,Cluster-15354.116348,Cv653,XP_009118825.1
117,Cluster-15354.110630,Cv653,XM_013821407.1
118,Cluster-15354.122773,Cv653,XP_009146934.1
119,Cluster-15354.68250,Cv653,XP_009122270.1
120,Cluster-15354.60930,Cv653,XM_009152305.1
121,Cluster-15354.128645,Cv653,XM_013809236.1
122,Cluster-15354.100020,Cv653,XM_013875586.1
123,Cluster-15354.75705,Cv653,XP_009125686.1
124,Cluster-15354.68515,Cv653,XP_006401391.1
125,Cluster-15354.105592,Cv653,CDY50188.1
126,Cluster-15354.73133,Cv653,CDY40377.1
127,Cluster-15354.84105,Cv653,XP_006407728.1
128,Cluster-15354.139123,Cv653,XM_013888595.1
129,Cluster-15354.95926,Cv653,XP_009113161.1
130,Cluster-15354.138630,Cv653,XP_009105772.1
131,Cluster-15354.59559,Cv653,XP_009114397.1
132,Cluster-15354.62741,Cv653,CDY52541.1
133,Cluster-15354.119051,Cv653,XM_009114583.1
134,Cluster-15354.84076,Cv653,XP_010536493.1
135,Cluster-15354.82906,Cv653,XP_006417177.1
136,Cluster-15354.83514,Cv653,AC189346.2
137,Cluster-15354.109164,Cv653,CDX75626.1
138,Cluster-15354.60877,Cv653,-
139,Cluster-15354.20378,Cv653,CDY63429.1
140,Cluster-15354.82631,Cv653,XM_013801355.1
141,Cluster-15354.129089,Cv653,XP_009134901.1
142,Cluster-15354.21560,Cv653,CDX88592.1
143,Cluster-15354.73058,Cv653,KHG03505.1
144,Cluster-15354.120210,Cv653,AAP42646.1
145,Cluster-15354.83475,Cv653,NP_001288966.1
146,Cluster-15354.78302,Cv653,XP_009151989.1
147,Cluster-15354.90879,Cv653,XP_010558967.1
148,Cluster-15354.79186,Cv653,XR_627324.1
149,Cluster-15354.87763,Cv653,XP_010522182.1
150,Cluster-15354.81437,Cv653,CDY14378.1
151,Cluster-15354.81124,Cv653,XP_009146395.1
152,Cluster-15354.105466,Cv653,XP_009141886.1
153,Cluster-15354.73369,Cv653,XM_013889256.1
154,Cluster-15354.129626,Cv653,XP_009118331.1
155,Cluster-15354.126582,Cv653,XP_009151865.1
156,Cluster-15354.80186,Cv653,ADA81868.1
157,Cluster-15354.96748,Cv653,XP_009146438.1
158,Cluster-15354.131576,Cv653,XP_006417337.1
159,Cluster-15354.81339,Cv653,CDY10268.1
160,Cluster-15354.53568,Cv653,XP_009132993.1
161,Cluster-15354.80228,Cv653,CDY16872.1
162,Cluster-15354.72755,Cv653,XM_013811196.1
163,Cluster-15354.30654,Cv653,EU941212.1
164,Cluster-15354.47055,Cv653,CDX75802.1
165,Cluster-15354.5338,Cv653,CDY36795.1
166,Cluster-15354.25197,Cv653,XP_009104289.1
167,Cluster-15354.88028,Cv653,XP_009131678.1
168,Cluster-15354.83320,Cv653,XM_009144925.1
169,Cluster-15354.17663,Cv653,CDY48610.1
170,Cluster-15354.22449,Cv653,ABK56012.1
171,Cluster-15354.82499,Cv653,CDX78519.1
172,Cluster-15354.83494,Cv653,AKA28296.1
173,Cluster-15354.114870,Cv653,XM_013788579.1
174,Cluster-15354.85042,Cv653,XP_009141972.1
175,Cluster-15354.86743,Cv653,XP_009132451.1
176,Cluster-15354.62009,Cv653,XP_009139961.1
177,Cluster-15354.84875,Cv653,CDX91318.1
178,Cluster-15354.78545,Cv653,XM_009128262.1
179,Cluster-15354.46731,Cv653,XP_009127239.1
180,Cluster-15354.117757,Cv653,BAA20356.1
181,Cluster-15354.85674,Cv653,XP_009146984.1
182,Cluster-15354.134535,Cv653,CDX98270.1
183,Cluster-15354.60933,Cv653,AGV22363.1
184,Cluster-15354.87166,Cv653,CDY22052.1
185,Cluster-15354.69204,Cv653,CDY20923.1
186,Cluster-15354.104638,Cv653,CDX74486.1
187,Cluster-15354.35777,Cv653,XP_009143534.1
188,Cluster-15354.68622,Cv653,XM_013806927.1
189,Cluster-15354.57504,Cv653,XM_009113279.1
190,Cluster-15354.127278,Cv653,BAA20356.1
191,Cluster-15354.40680,Cv653,CDY02273.1
192,Cluster-15354.90605,Cv653,XP_002889504.1
193,Cluster-15354.94044,Cv653,XP_009111999.1
194,Cluster-15354.83070,Cv653,BAH20307.1
195,Cluster-15354.111421,Cv653,CDX96831.1
196,Cluster-15354.81274,Cv653,XP_009119896.1
197,Cluster-15354.43464,Cv653,XP_009137004.1
198,Cluster-15354.38767,Cv653,CDX97114.1
199,Cluster-15354.24694,Cv653,XM_013865683.1
200,Cluster-15354.44274,Cv653,AC189485.2
201,Cluster-15354.61935,Cv653,XP_009107386.1
202,Cluster-15354.83360,Cv653,XP_006405770.1
203,Cluster-15354.33019,Cv653,XM_009148209.1
204,Cluster-15354.83479,Cv653,XM_013792274.1
205,Cluster-15354.76122,Cv653,XP_010906340.1
206,Cluster-15354.103758,Cv653,XP_002889406.1
207,Cluster-15354.86688,Cv653,XR_625266.1
208,Cluster-15354.58306,Cv653,XP_009121058.1
209,Cluster-15354.88966,Cv653,XP_006279987.1
210,Cluster-15354.97610,Cv653,CDY27934.1
211,Cluster-15354.64627,Cv653,CDY59820.1
212,Cluster-15354.151253,Cv653,AC189520.2
213,Cluster-15354.50855,Cv653,XP_009121946.1
214,Cluster-15354.80005,Cv653,KF484796.1
215,Cluster-15354.115176,Cv653,CDX72180.1
216,Cluster-15354.64374,Cv653,CDX73497.1
217,Cluster-15354.76843,Cv653,CDY14980.1
218,Cluster-15354.79453,Cv653,XP_001753287.1
219,Cluster-15354.91537,Cv653,XP_009118284.1
220,Cluster-15354.47108,Cv653,CDX68245.1
221,Cluster-15354.31908,Cv653,XP_009148110.1
222,Cluster-15354.109456,Cv653,CDX85677.1
223,Cluster-15354.138733,Cv653,XP_009151302.1
224,Cluster-15354.115079,Cv653,XP_009141248.1
225,Cluster-15354.80006,Cv653,XP_009118377.1
226,Cluster-15354.93112,Cv653,ACS68190.1
227,Cluster-15354.64963,Cv653,XP_006414132.1
228,Cluster-15354.30173,Cv653,CDY22909.1
229,Cluster-15354.88324,Cv653,CDY00023.1
230,Cluster-15354.63881,Cv653,KFK35341.1
231,Cluster-15354.133381,Cv653,XP_002877750.1
232,Cluster-15354.96846,Cv653,XP_009148642.1
233,Cluster-15354.27677,Cv653,XP_009113821.1
234,Cluster-15354.48923,Cv653,XM_013842133.1
235,Cluster-15354.130030,Cv653,XM_013893095.1
236,Cluster-15354.133828,Cv653,XM_009120917.1
237,Cluster-15354.88132,Cv653,CDY10676.1
238,Cluster-15354.67556,Cv653,CDY07946.1
239,Cluster-15354.18863,Cv653,CDX75602.1
240,Cluster-15354.74016,Cv653,CDY50643.1
241,Cluster-15354.102576,Cv653,XP_009105744.1
242,Cluster-15354.134697,Cv653,XR_631663.1
243,Cluster-15354.113286,Cv653,XM_013807410.1
244,Cluster-15354.113534,Cv653,CDY49967.1
245,Cluster-15354.95774,Cv653,XM_009118682.1
246,Cluster-15354.127490,Cv653,XP_009118320.1
247,Cluster-15354.84728,Cv653,XP_006396488.1
248,Cluster-15354.83481,Cv653,XP_006407728.1
249,Cluster-15354.105285,Cv653,XR_001267034.1
250,Cluster-15354.109649,Cv653,XP_009135778.1
251,Cluster-15354.61106,Cv653,XM_013737356.1
252,Cluster-15354.106084,Cv653,XM_013896658.1
253,Cluster-15354.95978,Cv653,XP_009114103.1
254,Cluster-15354.85134,Cv653,XP_009125815.1
255,Cluster-15354.25623,Cv653,CDY21503.1
256,Cluster-15354.88129,Cv653,CDY46608.1
257,Cluster-15354.74501,Cv653,XP_009113650.1
258,Cluster-15354.82170,Cv653,XP_009101694.1
259,Cluster-15354.82325,Cv653,XM_009125686.1
260,Cluster-15354.97991,Cv653,XP_009128056.1
261,Cluster-15354.27784,Cv653,XP_009123116.1
262,Cluster-15354.60028,Cv653,AC189641.2
263,Cluster-15354.84827,Cv653,XP_006407174.1
264,Cluster-15354.97215,Cv653,XM_013749549.1
265,Cluster-15354.95154,Cv653,XP_009115885.1
266,Cluster-15354.96402,Cv653,CDY14605.1
267,Cluster-15354.66028,Cv653,CDY16129.1
268,Cluster-15354.115042,Cv653,XM_009130022.1
269,Cluster-15354.39541,Cv653,XP_009109425.1
270,Cluster-15354.82315,Cv653,XP_009101731.1
271,Cluster-15354.71194,Cv653,XR_630176.1
272,Cluster-15354.84833,Cv653,CDY23637.1
273,Cluster-15354.29120,Cv653,-
274,Cluster-15354.136781,Cv653,CDY12671.1
275,Cluster-15354.81067,Cv653,XP_009142702.1
276,Cluster-15354.53523,Cv653,XM_013879155.1
277,Cluster-15354.72020,Cv653,AAK15323.1
278,Cluster-15354.91216,Cv653,XP_009103473.1
279,Cluster-15354.13920,Cv653,XP_006405286.1
280,Cluster-15354.119906,Cv653,XP_009121713.1
281,Cluster-15354.80066,Cv653,AHY18973.1
282,Cluster-15354.66524,Cv653,XM_009121678.1
283,Cluster-15354.132252,Cv653,AC240985.1
284,Cluster-15354.83467,Cv653,CDY13321.1
285,Cluster-15354.79694,Cv653,XM_013800501.1
286,Cluster-15354.62013,Cv653,AC232554.1
287,Cluster-15354.78625,Cv653,XP_009133088.1
288,Cluster-15354.51511,Cv653,XP_009115456.1
289,Cluster-15354.77035,Cv653,XP_009134793.1
290,Cluster-15354.81003,Cv653,CDY72573.1
291,Cluster-15354.101364,Cv653,XP_009118394.1
292,Cluster-15354.64951,Cv653,XP_009112602.1
293,Cluster-15354.63962,Cv653,CDX74354.1
294,Cluster-15354.87581,Cv653,NP_001150462.1
295,Cluster-15354.80287,Cv653,XP_006416441.1
296,Cluster-15354.51831,Cv653,XP_009140383.1
297,Cluster-15354.132609,Cv653,XM_013782198.1
298,Cluster-15354.71196,Cv653,CDY22260.1
299,Cluster-15354.92789,Cv653,CDX69480.1
300,Cluster-15354.79261,Cv653,NP_172246.3
301,Cluster-15354.70899,Cv653,ABQ50552.1
302,Cluster-15354.83410,Cv653,X16436.1
303,Cluster-15354.83903,Cv653,CDX84479.1
304,Cluster-15354.28443,Cv653,CDY39220.1
305,Cluster-15354.89269,Cv653,XP_009104499.1
306,Cluster-15354.93511,Cv653,CDX97225.1
307,Cluster-15354.44530,Cv653,CDX90858.1
308,Cluster-15354.91760,Cv653,XM_013801044.1
309,Cluster-15354.110626,Cv653,XM_009106276.1
310,Cluster-15354.96048,Cv653,XM_009144916.1
311,Cluster-15354.23167,Cv653,XM_009135786.1
312,Cluster-15354.86804,Cv653,XP_009125590.1
313,Cluster-15354.13835,Cv653,XP_009118966.1
314,Cluster-15354.69615,Cv653,CDY16619.1
315,Cluster-15354.133278,Cv653,CDX97743.1
316,Cluster-15354.104392,Cv653,XP_009139961.1
317,Cluster-15354.56984,Cv653,XP_009112165.1
318,Cluster-15354.85258,Cv653,XP_009132299.1
319,Cluster-15354.62937,Cv653,XP_009105640.1
320,Cluster-15354.91156,Cv653,AFX96281.1
321,Cluster-15354.98083,Cv653,XP_008369910.1
322,Cluster-15354.84776,Cv653,AAD50001.1
323,Cluster-15354.56273,Cv653,XP_009137446.1
324,Cluster-15354.44983,Cv653,XP_009121145.1
325,Cluster-15354.82765,Cv653,CDX81735.1
326,Cluster-15354.121609,Cv653,XM_009134985.1
327,Cluster-15354.82909,Cv653,CDX78778.1
328,Cluster-15354.77085,Cv653,XM_009147945.1
329,Cluster-15354.101635,Cv653,XP_009120060.1
330,Cluster-15354.40524,Cv653,CDY60118.1
331,Cluster-15354.37903,Cv653,CDX74000.1
332,Cluster-15354.74981,Cv653,CDY51422.1
333,Cluster-15354.18501,Cv653,XP_010544990.1
334,Cluster-15354.125660,Cv653,XP_009104003.1
335,Cluster-15354.149913,Cv653,CDX95839.1
336,Cluster-15354.42584,Cv653,XP_009118716.1
337,Cluster-15354.82473,Cv653,XM_009151291.1
338,Cluster-15354.91984,Cv653,CDY08615.1
339,Cluster-15354.112551,Cv653,CDX85630.1
340,Cluster-15354.94797,Cv653,XM_009146010.1
341,Cluster-15354.13061,Cv653,CDY35019.1
342,Cluster-15354.79686,Cv653,XM_009129950.1
343,Cluster-15354.84112,Cv653,XP_009144290.1
344,Cluster-15354.85986,Cv653,CDY08854.1
345,Cluster-15354.1729,Cv653,CDY21655.1
346,Cluster-15354.82719,Cv653,XP_009126233.1
347,Cluster-15354.84211,Cv653,XP_009112116.1
348,Cluster-15354.117112,Cv653,CDX94352.1
349,Cluster-15354.83272,Cv653,CDY30137.1
350,Cluster-15354.139691,Cv653,XP_009128446.1
351,Cluster-15354.91001,Cv653,XM_013748770.1
352,Cluster-15354.93669,Cv653,XP_009120586.1
353,Cluster-15354.54112,Cv653,XM_009120120.1
354,Cluster-15354.82190,Cv653,XP_009149449.1
355,Cluster-15354.137543,Cv653,XM_009153426.1
356,Cluster-15354.86738,Cv653,XP_009119951.1
357,Cluster-15354.86482,Cv653,XR_001271036.1
358,Cluster-15354.87315,Cv653,CDX70601.1
359,Cluster-15354.44803,Cv653,KFK43993.1
360,Cluster-15354.70324,Cv653,XM_009129661.1
361,Cluster-15354.70178,Cv653,CDY58466.1
362,Cluster-15354.43076,Cv653,CDY19716.1
363,Cluster-15354.99538,Cv653,-
364,Cluster-15354.122769,Cv653,CDY44699.1
365,Cluster-15354.145364,Cv653,XP_009106088.1
366,Cluster-15354.68700,Cv653,XP_006391120.1
367,Cluster-42138.1,Cv653,CDY30134.1
368,Cluster-15354.67208,Cv653,KFK39032.1
369,Cluster-15354.81611,Cv653,XM_013823049.1
370,Cluster-15354.30013,Cv653,XM_013787837.1
371,Cluster-15354.69206,Cv653,XP_009150739.1
372,Cluster-15354.97490,Cv653,XP_009128070.1
373,Cluster-15354.29049,Cv653,XP_009112010.1
374,Cluster-15354.106857,Cv653,XP_009131524.1
375,Cluster-15354.93454,Cv653,CDY59487.1
376,Cluster-15354.46576,Cv653,XM_013865032.1
377,Cluster-15354.80527,Cv653,XM_013817274.1
378,Cluster-15354.82694,Cv653,-
379,Cluster-15354.84488,Cv653,CDX69317.1
380,Cluster-15354.47272,Cv653,XP_007016537.1
381,Cluster-15354.40690,Cv653,XP_009101825.1
382,Cluster-15354.109137,Cv653,XP_009121459.1
383,Cluster-15354.58112,Cv653,CDY50809.1
384,Cluster-15354.54355,Cv653,XM_013845449.1
385,Cluster-15354.110061,Cv653,XP_009135467.1
386,Cluster-15354.63576,Cv653,XP_009146226.1
387,Cluster-15354.86251,Cv653,CDY41745.1
388,Cluster-15354.74861,Cv653,XP_009108028.1
389,Cluster-15354.78554,Cv653,-
390,Cluster-15354.109938,Cv653,XP_009131873.1
391,Cluster-38827.3,Cv653,XP_007215966.1
392,Cluster-15354.83913,Cv653,XP_009149414.1
393,Cluster-15354.97881,Cv653,XM_013880218.1
394,Cluster-15354.81970,Cv653,NP_001288839.1
395,Cluster-15354.83970,Cv653,XM_006408450.1
396,Cluster-15354.121982,Cv653,XP_009150901.1
397,Cluster-15354.23780,Cv653,CDY08232.1
398,Cluster-15354.55179,Cv653,XP_009133709.1
399,Cluster-15354.19827,Cv653,XP_009126869.1
400,Cluster-15354.55691,Cv653,XP_009144913.1
401,Cluster-15354.86521,Cv653,XP_009108020.1
402,Cluster-15354.95041,Cv653,XP_009122079.1
403,Cluster-46822.1,Cv653,CDY22680.1
404,Cluster-15354.37051,Cv653,XP_009134400.1
405,Cluster-15354.80581,Cv653,CDX70829.1
406,Cluster-15354.83797,Cv653,XP_006396500.1
407,Cluster-15354.107698,Cv653,XP_009110551.1
408,Cluster-15354.37780,Cv653,XM_009152707.1
409,Cluster-15354.88461,Cv653,XM_013773144.1
410,Cluster-15354.81672,Cv653,CDY00185.1
411,Cluster-15354.101048,Cv653,XM_013786632.1
412,Cluster-15354.77418,Cv653,XP_009151550.1
413,Cluster-15354.107713,Cv653,XP_009147265.1
414,Cluster-15354.112541,Cv653,XM_013833517.1
415,Cluster-15354.112139,Cv653,XM_013781678.1
416,Cluster-15354.91443,Cv653,AC232445.1
417,Cluster-15354.83603,Cv653,CDY37516.1
418,Cluster-15354.53712,Cv653,XP_009139085.1
419,Cluster-15354.90513,Cv653,CDX95662.1
420,Cluster-15354.64941,Cv653,NP_001288855.1
421,Cluster-15354.56244,Cv653,XP_009115580.1
422,Cluster-15354.61102,Cv653,NP_001288866.1
423,Cluster-43864.0,Cv653,XM_013824788.1
424,Cluster-15354.79863,Cv653,XR_001283381.1
425,Cluster-15354.120239,Cv653,AC189362.2
426,Cluster-15354.97607,Cv653,XP_009132955.1
427,Cluster-35269.0,Cv653,XM_013764019.1
428,Cluster-15354.30807,Cv653,CDY51328.1
429,Cluster-15354.134256,Cv653,XP_009127240.1
430,Cluster-15354.95743,Cv653,XP_009112365.1
431,Cluster-15354.36507,Cv653,XM_013848303.1
432,Cluster-15354.40658,Cv653,XP_006393331.1
433,Cluster-15354.64381,Cv653,CDX84419.1
434,Cluster-15354.92638,Cv653,XP_010440090.1
435,Cluster-15354.62857,Cv653,CDY23379.1
436,Cluster-15354.81914,Cv653,XM_013884179.1
437,Cluster-15354.107368,Cv653,XM_009138489.1
438,Cluster-15354.91585,Cv653,XP_009151658.1
439,Cluster-15354.18999,Cv653,CDY29994.1
440,Cluster-15354.86381,Cv653,XP_009119896.1
441,Cluster-15354.133804,Cv653,XP_009121073.1
442,Cluster-15354.96858,Cv653,CDY35496.1
443,Cluster-15354.85341,Cv653,XP_006413074.1
444,Cluster-15354.43414,Cv653,CDX77007.1
445,Cluster-15354.85354,Cv653,XR_001288573.1
446,Cluster-15354.43585,Cv653,XP_009147406.1
447,Cluster-15354.106410,Cv653,CDY01837.1
448,Cluster-15354.47269,Cv653,XP_009111381.1
449,Cluster-15354.107205,Cv653,XP_009128462.1
450,Cluster-15354.84843,Cv653,XM_013832148.1
451,Cluster-15354.111776,Cv653,XM_013738533.1
452,Cluster-15354.77307,Cv653,XP_009115885.1
453,Cluster-15354.80028,Cv653,XM_013881302.1
454,Cluster-15354.60982,Cv653,XP_006408433.1
455,Cluster-15354.113312,Cv653,XP_009143444.1
456,Cluster-15354.87833,Cv653,CDX93168.1
457,Cluster-15354.47114,Cv653,CDX68245.1
458,Cluster-15354.48745,Cv653,XM_013787443.1
459,Cluster-15354.16978,Cv653,XP_009143322.1
460,Cluster-15354.98748,Cv653,XP_009102998.1
461,Cluster-15354.84700,Cv653,XP_009134410.1
462,Cluster-15354.88946,Cv653,CDY72359.1
463,Cluster-15354.57149,Cv653,XP_009106631.1
464,Cluster-15354.128316,Cv653,XP_009117333.1
465,Cluster-15354.22793,Cv653,XM_013892222.1
466,Cluster-15354.85770,Cv653,XM_013880807.1
467,Cluster-15354.72851,Cv653,XP_009102464.1
468,Cluster-15354.103484,Cv653,XP_009118517.1
469,Cluster-15354.89059,Cv653,XM_006416824.1
470,Cluster-15354.17808,Cv653,XP_009113940.1
471,Cluster-15354.122776,Cv653,XP_009135057.1
472,Cluster-15354.86351,Cv653,XP_009148046.1
473,Cluster-15354.44343,Cv653,XM_013865205.1
474,Cluster-15354.66916,Cv653,XP_009106421.1
475,Cluster-28510.2,Cv653,BC036531.2
476,Cluster-15354.87756,Cv653,XP_010522182.1
477,Cluster-15354.67457,Cv653,XP_009111635.1
478,Cluster-15354.50299,Cv653,XP_006394705.1
479,Cluster-15354.40323,Cv653,CDX71553.1
480,Cluster-15354.107015,Cv653,XP_002884831.1
481,Cluster-48422.1,Cv653,CDX85354.1
482,Cluster-15354.111063,Cv653,XP_009137789.1
483,Cluster-15354.76174,Cv653,CDY05135.1
484,Cluster-15354.60252,Cv653,XP_009139086.1
485,Cluster-15354.117117,Cv653,XP_009142127.1
486,Cluster-15354.87108,Cv653,CDY05093.1
487,Cluster-15354.80933,Cv653,XP_009141597.1
488,Cluster-15354.26774,Cv653,XP_010446092.1
489,Cluster-15354.84838,Cv653,CDY23637.1
490,Cluster-15354.101366,Cv653,AFK74855.1
491,Cluster-15354.122486,Cv653,XP_009138346.1
492,Cluster-50808.0,Cv653,XM_009145097.1
493,Cluster-45263.4,Cv653,CDY38961.1
494,Cluster-15354.102329,Cv653,CDY47832.1
495,Cluster-15354.111777,Cv653,XM_013895527.1
496,Cluster-15354.80593,Cv653,XP_009104223.1
497,Cluster-15354.64384,Cv653,CDY15149.1
498,Cluster-15354.83327,Cv653,U13630.1
499,Cluster-15354.96163,Cv653,AAY81665.1
500,Cluster-15354.78938,Cv653,CDY46764.1
501,Cluster-15354.106206,Cv653,XP_009131589.1
502,Cluster-15354.131060,Cv653,XP_006294507.1
503,Cluster-15354.95161,Cv653,XP_009116085.1
504,Cluster-15354.72231,Cv653,CDY48845.1
505,Cluster-15354.40917,Cv653,-
506,Cluster-15354.47795,Cv653,XP_009136835.1
507,Cluster-15354.80316,Cv653,XP_002882138.1
508,Cluster-15354.94994,Cv653,XM_009136567.1
509,Cluster-15354.40520,Cv653,-
510,Cluster-15354.87579,Cv653,ABF17875.1
511,Cluster-15354.109097,Cv653,XP_009142212.1
512,Cluster-15354.85465,Cv653,CDY37992.1
513,Cluster-15354.19639,Cv653,XP_009123446.1
514,Cluster-15354.127512,Cv653,XM_013886636.1
515,Cluster-15354.73309,Cv653,XP_009148709.1
516,Cluster-15354.83749,Cv653,XP_009116879.1
517,Cluster-15354.77828,Cv653,XM_013881359.1
518,Cluster-15354.68702,Cv653,XP_009105409.1
519,Cluster-15354.83658,Cv653,CDY20112.1
520,Cluster-15354.109138,Cv653,XP_009149445.1
521,Cluster-15354.70839,Cv653,XP_002884209.1
522,Cluster-15354.83659,Cv653,CDY06222.1
523,Cluster-15354.134930,Cv653,XM_013756913.1
524,Cluster-15354.75007,Cv653,CDY16801.1
525,Cluster-15354.60902,Cv653,XP_006404177.1
526,Cluster-15354.76454,Cv653,CDX79343.1
